rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-01,wide,131.5,2024-08-01 09:50:00-04:00,2024-08-01 09:51:00-04:00,19614.25,2024-08-01 09:53:00-04:00,19644.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-05,wide,362.25,2024-08-05 10:12:00-04:00,2024-08-05 10:13:00-04:00,17865.5,2024-08-05 10:13:00-04:00,17896.0,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-06,wide,203.0,2024-08-06 10:03:00-04:00,2024-08-06 10:04:00-04:00,18160.25,2024-08-06 10:07:00-04:00,18190.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-07,normal,102.0,2024-08-07 09:51:00-04:00,2024-08-07 09:52:00-04:00,18521.25,2024-08-07 09:55:00-04:00,18491.75,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-09,tight,83.25,2024-08-09 10:16:00-04:00,2024-08-09 10:17:00-04:00,18515.5,2024-08-09 10:27:00-04:00,18486.0,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-12,normal,115.5,2024-08-12 10:17:00-04:00,2024-08-12 10:18:00-04:00,18657.5,2024-08-12 10:21:00-04:00,18688.0,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-13,tight,75.5,2024-08-13 09:55:00-04:00,2024-08-13 09:56:00-04:00,18871.25,2024-08-13 09:58:00-04:00,18901.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-16,tight,72.25,2024-08-16 10:04:00-04:00,2024-08-16 10:05:00-04:00,19532.25,2024-08-16 10:07:00-04:00,19562.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-19,tight,71.75,2024-08-19 09:50:00-04:00,2024-08-19 09:51:00-04:00,19601.5,2024-08-19 10:01:00-04:00,19572.0,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-20,tight,61.75,2024-08-20 10:11:00-04:00,2024-08-20 10:12:00-04:00,19861.75,2024-08-20 10:12:00-04:00,19832.25,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-21,tight,47.25,2024-08-21 09:47:00-04:00,2024-08-21 09:48:00-04:00,19852.75,2024-08-21 09:57:00-04:00,19883.25,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-23,tight,58.0,2024-08-23 10:47:00-04:00,2024-08-23 10:48:00-04:00,19736.5,2024-08-23 10:48:00-04:00,19707.0,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-27,normal,84.75,2024-08-27 09:57:00-04:00,2024-08-27 09:58:00-04:00,19536.0,2024-08-27 10:00:00-04:00,19566.5,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-29,wide,132.0,2024-08-29 09:50:00-04:00,2024-08-29 09:51:00-04:00,19574.25,2024-08-29 09:55:00-04:00,19604.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-08-30,normal,64.0,2024-08-30 09:47:00-04:00,2024-08-30 09:48:00-04:00,19554.5,2024-08-30 09:51:00-04:00,19585.0,stop,-62.34,full_history
