rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-01-29,wide,231.25,2026-01-29 09:57:00-05:00,2026-01-29 09:58:00-05:00,25909.0,2026-01-29 09:59:00-05:00,25879.5,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-02-03,wide,230.75,2026-02-03 09:55:00-05:00,2026-02-03 09:56:00-05:00,25699.0,2026-02-03 09:57:00-05:00,25669.5,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-02-04,normal,156.5,2026-02-04 10:30:00-05:00,2026-02-04 10:31:00-05:00,25218.25,2026-02-04 10:33:00-05:00,25188.75,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-02-05,wide,284.5,2026-02-05 10:11:00-05:00,2026-02-05 10:12:00-05:00,24618.0,2026-02-05 10:13:00-05:00,24588.5,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-02-17,normal,209.75,2026-02-17 10:20:00-05:00,2026-02-17 10:21:00-05:00,24600.25,2026-02-17 10:22:00-05:00,24570.75,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-02-23,normal,159.75,2026-02-23 10:04:00-05:00,2026-02-23 10:05:00-05:00,24866.0,2026-02-23 10:10:00-05:00,24896.5,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-02-26,tight,117.25,2026-02-26 09:51:00-05:00,2026-02-26 09:52:00-05:00,25214.0,2026-02-26 09:58:00-05:00,25184.5,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-03,normal,158.75,2026-03-03 09:58:00-05:00,2026-03-03 09:59:00-05:00,24489.0,2026-03-03 10:00:00-05:00,24519.5,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-09,normal,171.25,2026-03-09 09:50:00-04:00,2026-03-09 09:51:00-04:00,24342.75,2026-03-09 09:52:00-04:00,24373.25,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-10,tight,121.5,2026-03-10 10:00:00-04:00,2026-03-10 10:01:00-04:00,24929.25,2026-03-10 10:02:00-04:00,24959.75,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-11,tight,81.0,2026-03-11 09:51:00-04:00,2026-03-11 09:52:00-04:00,25022.5,2026-03-11 09:53:00-04:00,25053.0,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-12,tight,92.75,2026-03-12 09:51:00-04:00,2026-03-12 09:52:00-04:00,24727.25,2026-03-12 09:52:00-04:00,24697.75,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-13,normal,161.75,2026-03-13 10:44:00-04:00,2026-03-13 10:45:00-04:00,24596.0,2026-03-13 10:46:00-04:00,24566.5,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-18,tight,85.25,2026-03-18 10:14:00-04:00,2026-03-18 10:15:00-04:00,24675.0,2026-03-18 10:16:00-04:00,24705.5,stop,-62.34,human_window
