idea_id,entry_time_et,direction,setup_label,human_1c,max_size,entry_price,pdh,pdl,pdc,pdh_dist,pdl_dist,pdc_dist,gap_pts,round_signed,round_abs,ema20_60m,ema50_60m,entry_vs_60m_ema20,pre_entry_pattern,vol_z,vol_3bar_z
38,2025-12-05 11:03:18.216427-05:00,long,orb_breakout_or_retest_candidate,9.826666666664241,1,25735.416666666668,25713.25,25487.0,25627.25,22.16666666666788,248.41666666666788,108.16666666666788,52.75,-14.58333333333212,14.58333333333212,25603.638577832793,25424.433097460795,above,doji,-0.8808098908071792,-0.46745328464956637
39,2025-12-05 14:47:39.443075-05:00,long,orb_breakout_or_retest_candidate,22.66,1,25706.25,25713.25,25487.0,25627.25,-7.0,219.25,79.0,52.75,6.25,6.25,25636.10738638971,25458.86410945387,above,red_against,-1.085406433135479,-0.8883126829443695
41,2025-12-08 10:15:08.815176-05:00,long,discretionary_or_unclassified,7.301304347824189,81,25644.377717391304,25867.75,25651.0,25726.0,-223.37228260869597,-6.6222826086959685,-81.62228260869597,65.5,-5.6222826086959685,5.6222826086959685,25662.081045594106,25490.217304152542,below,red_against,0.08719310787934305,-0.5040132858733252
42,2025-12-09 12:04:06.941905-05:00,short,discretionary_or_unclassified,17.535,1,25715.75,25860.75,25563.75,25668.25,-145.0,152.0,47.5,-49.5,15.75,15.75,25657.7905665571,25539.239439492725,above,neutral_down,-0.5264274036804469,-0.14919228281294414
44,2025-12-10 09:57:57.944073-05:00,long,discretionary_or_unclassified,2.4172815534003895,99,25543.13349514563,25738.5,25560.0,25703.0,-195.36650485436985,-16.86650485436985,-159.86650485436985,-55.75,-6.86650485436985,6.86650485436985,25675.129161328296,25564.610973129566,below,rejection_low,-1.084037033804319,-0.23187511099912175
45,2025-12-10 13:18:53.667488-05:00,short,discretionary_or_unclassified,13.302857142855064,3,25774.85714285714,25738.5,25560.0,25703.0,36.3571428571413,214.8571428571413,71.8571428571413,-55.75,24.857142857141298,24.857142857141298,25660.462504992596,25574.161699483622,above,breakout_down,-0.911480798830243,-0.9207056863776029
47,2025-12-11 09:44:16.017757-05:00,long,pre_or_locked_trade,12.570112359546474,84,25435.629213483146,25869.75,25528.25,25800.25,-434.1207865168544,-92.62078651685442,-364.6207865168544,-156.75,-14.370786516854423,14.370786516854423,25684.244986690876,25593.883425549364,below,neutral_up,-1.5042930970641786,-0.48150965897113257
49,2025-12-16 10:09:46.311164-05:00,short,discretionary_or_unclassified,25.16,2,25338.75,25410.0,25034.5,25084.5,-71.25,304.25,254.25,-95.25,-11.25,11.25,25285.046406584977,25415.629637388098,above,breakout_down,-0.389251030173286,-0.5634291071016521
51,2025-12-17 10:46:09.623144-05:00,long,discretionary_or_unclassified,38.91,2,25114.25,25202.25,24926.25,25131.5,-88.0,188.0,-17.25,49.25,14.25,14.25,25180.517696586867,25332.459404616708,below,red_against,1.718707345097785,1.4426240373407306
55,2025-12-23 09:56:46.159842-05:00,short,discretionary_or_unclassified,7.916944444445253,71,25766.253472222223,25795.0,25629.5,25688.5,-28.746527777777374,136.75347222222263,77.75347222222263,-44.0,16.253472222222626,16.253472222222626,25390.68753393798,25295.069392845187,above,breakout_down,0.0794538047169382,-0.04706508425010982
