idea_id,direction,human_1c,max_size,setup_label,or_high_dist,or_low_dist,or_mid_dist,vwap_dist,ema9_15m_dist,ema9_5m_dist,swing_high_dist,swing_low_dist,sess_high_dist,sess_low_dist
39,long,22.66,1,orb_breakout_or_retest_candidate,-71.5,45.75,-12.875,-40.453959320133436,-17.296175600000424,-16.134830144692387,-27.25,-3.0,-161.5,55.25
41,long,7.301304347824189,81,discretionary_or_unclassified,-216.37228260869597,-123.62228260869597,-169.99728260869597,-138.66928766821002,-97.4841185488549,-112.25111096790715,-134.12228260869597,-89.62228260869597,-216.37228260869597,-77.62228260869597
42,short,17.535,1,discretionary_or_unclassified,62.5,155.75,109.125,65.12315866198333,40.920630144591996,19.0430779394992,2.0,48.75,-11.75,155.75
44,long,2.4172815534003895,99,discretionary_or_unclassified,-120.11650485436985,-23.86650485436985,-71.99150485436985,-83.40072921829415,-148.00028200315865,-109.6534923581894,-129.86650485436985,-23.86650485436985,-129.86650485436985,-23.86650485436985
45,short,13.302857142855064,3,discretionary_or_unclassified,111.6071428571413,207.8571428571413,159.7321428571413,155.4200267457236,134.33480558160954,125.71404450335467,111.8571428571413,131.8571428571413,92.8571428571413,246.6071428571413
47,long,12.570112359546474,84,pre_or_locked_trade,-214.12078651685442,-120.12078651685442,-167.12078651685442,-159.00454101260402,,-301.13956104005774,-194.37078651685442,,-214.12078651685442,-120.12078651685442
49,short,25.16,2,discretionary_or_unclassified,232.25,372.75,302.5,258.5352208926597,228.45019344314642,241.61591892991783,174.25,378.25,174.25,378.25
51,long,38.91,2,discretionary_or_unclassified,-91.5,54.75,-18.375,50.63065297857975,58.20163475411027,91.99005984260293,2.25,70.0,-91.5,243.75
55,short,7.916944444445253,71,discretionary_or_unclassified,28.753472222222626,128.25347222222263,78.50347222222263,49.50827790865151,68.82165419927696,56.71240141560338,15.003472222222626,74.25347222222263,15.003472222222626,128.25347222222263
56,short,1.66,1,discretionary_or_unclassified,66.25,165.75,116.0,78.6033994692225,15.459117012080242,6.182935060816817,-0.75,9.25,-2.5,176.5
57,short,4.535,4,discretionary_or_unclassified,4.9375,50.6875,27.8125,27.900440309531405,35.83456791018034,27.254744294579723,11.4375,47.4375,4.9375,50.6875
58,short,29.16,2,discretionary_or_unclassified,-1.5,66.5,32.5,26.800583688909683,55.23479942143604,37.43136502052221,,,-1.5,66.5
59,long,16.16,2,discretionary_or_unclassified,-63.0,5.0,-29.0,-13.922957342263544,-0.35972837028384674,-4.7341601587650075,-3.0,35.25,-65.5,35.25
61,short,9.66,1,discretionary_or_unclassified,-128.25,26.25,-51.0,-53.95219928624647,-141.74846974439788,-75.34366193830283,-51.0,-20.5,-128.25,26.25
62,short,0.6599999999999999,1,orb_breakout_or_retest_candidate,-130.5,24.0,-53.25,-29.686639933097467,-12.212199280940695,1.9764500145356578,11.25,40.5,-130.5,40.5
63,long,7.66,2,orb_breakout_or_retest_candidate,-39.5,18.0,-10.75,-28.7278301255501,-38.68792156422569,-38.41983120653458,-81.25,20.0,-81.25,20.0
64,long,-0.8400000000000001,1,orb_breakout_or_retest_candidate,-12.75,44.75,16.0,-6.1101322634312965,-13.860204486747534,-13.378179026396538,-73.75,-11.0,-73.75,46.75
66,long,1.16,4,discretionary_or_unclassified,-85.75,-2.25,-44.0,-25.413463214983494,-84.01949640382009,-48.88053483530166,,-5.5,-85.75,24.75
67,short,140.66,2,discretionary_or_unclassified,2.5,98.0,50.25,27.40790796973306,180.5804465034562,95.4486655871151,-67.5,98.0,-67.5,98.0
68,long,109.16,2,discretionary_or_unclassified,-251.0,-155.5,-203.25,-171.21544596910098,-90.32081139023649,-107.36385680667081,-297.5,-244.5,-321.0,25.25
70,short,2.7305882352995106,66,pre_or_locked_trade,-20.214705882350245,114.53529411764976,47.160294117649755,,,,,,,
72,short,1.66,1,discretionary_or_unclassified,136.5,206.75,171.625,93.78778920505283,22.350756269064732,6.65884881653983,-5.75,14.25,-14.5,206.75
73,short,11.588571428572468,3,discretionary_or_unclassified,22.428571428572468,115.92857142857247,69.17857142857247,53.67809471934015,63.2466272428137,43.909632980503375,6.678571428572468,41.17857142857247,6.678571428572468,115.92857142857247
74,long,53.66,3,pre_or_locked_trade,-182.45000000000073,7.049999999999272,-87.70000000000073,-87.59555741126678,,-170.98372561134238,,,-182.45000000000073,-1.4500000000007276
75,short,74.66,2,inverse_orb_candidate,65.0,207.75,136.375,126.59581263962173,124.27806357800728,95.31012859356997,96.25,240.25,-4.75,240.25
76,short,10.16,1,inverse_orb_candidate,124.25,267.0,195.625,129.8333852176729,66.77383415887016,14.80712206654789,-5.25,30.0,-10.75,299.5
78,short,-1.09,2,pre_or_locked_trade,59.54166666666788,208.29166666666788,133.91666666666788,118.98386842886976,,15.513882763545553,,,67.04166666666788,208.29166666666788
79,short,84.91,2,discretionary_or_unclassified,-80.5,31.75,-24.375,-23.150618229057727,-21.23766218399396,-24.507030173645035,,,-80.5,31.75
81,long,96.16,2,inverse_orb_candidate,-210.25,-42.5,-126.375,-93.49661690537687,-190.7792643867142,-121.19141998121631,-93.25,-33.0,-210.25,2.75
82,short,166.66,1,orb_breakout_or_retest_candidate,-127.75,40.0,-43.875,11.919072674158087,-88.72341150937427,2.357195500550006,-31.5,22.5,-127.75,130.5
83,long,9.16,1,inverse_orb_candidate,-328.0,-160.25,-244.125,-130.6989216940492,-102.87596958937502,-38.99198889484978,-128.75,23.25,-328.0,23.25
85,short,33.16,1,discretionary_or_unclassified,-39.25,54.5,7.625,14.74735279235756,276.9220462546291,106.16531864790886,-46.75,54.5,-46.75,64.75
86,short,41.16,1,pre_or_locked_trade,-58.625,15.125,-21.75,-31.772025294674677,,84.20130245947075,,,-58.625,-1.625
87,short,14.66,1,orb_breakout_or_retest_candidate,-180.25,-106.5,-143.375,-15.338765298984072,3.3270549087428662,8.613220496066788,-27.25,19.5,-180.25,120.75
