idea_id,fill_count,source_row_ids,symbol,contract,direction,entry_time_et,exit_time_et,trade_date_et,duration_minutes,weighted_entry_price,weighted_exit_price,contract_turnover,max_overlapping_contracts,gross_pnl,fees,net_pnl,entry_hour_et,minutes_after_rth_open,time_bucket,or_locked_at_entry,coverage_status,data_quality,pre_entry_1m_close,or_high,or_low,or_midpoint,or_size,or_classification,or_percentile,entry_vs_or,vwap_pre_entry,entry_vs_vwap,ema9_15m,ema9_slope_15m,entry_vs_15m_ema9,ema9_5m,entry_vs_5m_ema9,rsi14_15m,rsi_regime,volume_ratio_15m,first_completed_or_breakout,minutes_to_15m_close_at_entry,prior_day_trend_direction,prior_day_trend_efficiency,prior_day_zombie_proxy,mae_points,mfe_points,move_after_5m_points,move_after_15m_points,move_after_30m_points,move_after_60m_points,trend_state,setup_label
111,9,2077415910|2077415911|2077415912|2077415913|2077415914|2077415915|2077415916|2077415917|2077415918,F.US.MNQ,MNQH26,short,2026-02-06 10:50:35.479641-05:00,2026-02-06 11:36:09.589570-05:00,2026-02-06,45.56849881666667,25034.46212121212,25032.25,99,99,438.0,73.26,364.74,10,80.59132735,10:00-11:00,True,covered,clean,24911.0,24927.5,24700.5,24814.0,227.0,wide,85.0,above_or,24863.993803616137,above,24817.147835804648,27.02554104883893,above,24884.97372010643,above,56.638509734113065,neutral,1.0847947154326238,none,9.40867265,down,0.31113730111962284,False,14.28787878787989,214.4621212121201,163.2121212121201,79.96212121212011,37.21212121212011,0.4621212121201097,uptrend_above_ema,discretionary_or_unclassified
112,1,2078501775,F.US.MNQ,MNQH26,short,2026-02-06 13:32:12.993523-05:00,2026-02-06 14:17:12.905065-05:00,2026-02-06,44.998525699999995,25092.0,25067.5,1,1,49.0,0.74,48.26,13,242.21655871666664,13:30-15:00,True,covered,clean,25095.75,24927.5,24700.5,24814.0,227.0,wide,85.0,above_or,24929.153104475503,above,25044.44984178293,11.262539554267278,above,25091.225550943265,near,63.10529399528752,neutral,0.45449713884132825,long,12.783441283333334,down,0.31113730111962284,False,18.5,27.0,1.75,-10.75,-4.25,-13.5,uptrend_above_ema,inverse_orb_candidate
113,4,2085419587|2085419588|2086955100|2086955101,F.US.MNQ,MNQH26,short,2026-02-09 10:59:29.018099-05:00,2026-02-09 15:37:47.240674-05:00,2026-02-09,278.30370958333333,25365.25,25361.75,4,2,28.0,2.96,25.04000000000001,10,89.48363498333333,10:00-11:00,True,covered,clean,25323.25,25152.5,24955.5,25054.0,197.0,wide,80.0,above_or,25162.48942613272,above,25168.534650629965,24.053837342511542,above,25244.50213023081,above,69.38867586276052,bull_trend_zone,1.2866457167031438,long,0.5163650166666667,up,0.7428023032629558,True,63.75,59.75,45.0,33.75,9.25,-25.75,uptrend_above_ema,inverse_orb_candidate
114,1,2089725534,F.US.MNQ,MNQH26,short,2026-02-10 04:31:27.394525-05:00,2026-02-10 05:04:13.168800-05:00,2026-02-10,32.76290458333333,25395.5,25344.5,1,1,102.0,0.74,101.26,4,-298.5434245833333,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
115,1,2090166660,F.US.MNQ,MNQH26,short,2026-02-10 07:55:07.182249-05:00,2026-02-10 07:59:31.727450-05:00,2026-02-10,4.409086683333333,25345.0,25339.75,1,1,10.5,0.74,9.76,7,-94.88029585,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
116,1,2093252571,F.US.MNQ,MNQH26,short,2026-02-10 10:25:56.985680-05:00,2026-02-10 11:16:35.623077-05:00,2026-02-10,50.643956616666664,25382.0,25381.0,1,1,2.0,0.74,1.26,10,55.94976133333333,10:00-11:00,True,covered,clean,25376.25,25410.25,25265.25,25337.75,145.0,normal,60.0,inside_or,25359.295712987918,above,25371.27058679762,4.994853300599061,above,25382.80868372398,near,60.04290313354968,neutral,2.439443768763519,none,4.050238666666667,up,0.5929250263991552,False,56.75,34.25,-39.5,-14.75,7.0,23.5,uptrend_above_ema,discretionary_or_unclassified
117,2,2100351602|2101866820,F.US.MNQ,MNQH26,short,2026-02-11 09:55:11.423520-05:00,2026-02-11 11:30:01.572367-05:00,2026-02-11,94.83581411666667,25312.375,25211.875,2,1,402.0,1.48,400.52,9,25.190392,09:30-10:00,True,covered,clean,25376.0,25465.5,25339.0,25402.25,126.5,normal,55.00000000000001,below_or,25391.431119195888,below,25293.276906351384,24.49327341215394,above,25337.353468922072,below,60.18888255725367,neutral,3.228538925101464,none,4.809608,down,0.6292585170340681,False,83.875,254.375,4.625,75.625,232.875,52.375,uptrend_above_ema,discretionary_or_unclassified
118,1,2107978757,F.US.MNQ,MNQH26,short,2026-02-12 09:55:01.363693-05:00,2026-02-12 10:01:21.779218-05:00,2026-02-12,6.34025875,25271.5,25218.0,1,1,107.0,0.74,106.26,9,25.022728216666668,09:30-10:00,True,covered,clean,25273.75,25393.75,25303.75,25348.75,90.0,tight,15.0,below_or,25319.07316841605,below,25298.44050871041,2.7023728224012302,below,25299.235300956338,below,52.762839058055825,neutral,2.7034435815723525,none,4.977271783333333,down,0.3441717791411043,False,2.75,93.25,83.75,61.25,44.0,226.75,mixed,discretionary_or_unclassified
119,1,2110412169,F.US.MNQ,MNQH26,long,2026-02-12 12:01:36.779246-05:00,2026-02-12 12:16:05.003055-05:00,2026-02-12,14.470396816666666,24839.5,24840.5,1,1,2.0,0.74,1.26,12,151.61298743333333,12:00-13:30,True,covered,clean,24844.0,25393.75,25303.75,25348.75,90.0,tight,15.0,below_or,25090.431258113593,below,25002.037451502285,-30.821862875567604,below,24893.42951340751,below,28.79684916436483,bear_trend_zone,1.0135126590913779,short,13.387012566666668,down,0.3441717791411043,False,7.5,64.25,56.0,28.75,29.25,-7.75,downtrend_below_ema,discretionary_or_unclassified
120,1,2118398089,F.US.MNQ,MNQH26,long,2026-02-13 10:41:38.674383-05:00,2026-02-13 10:45:00.980019-05:00,2026-02-13,3.3717606,24825.0,24777.0,1,1,-96.0,0.74,-96.74,10,71.64457304999999,10:00-11:00,True,covered,clean,24821.25,24800.0,24578.75,24689.375,221.25,wide,80.0,above_or,24762.479471973515,above,24798.056231381197,12.735942154700751,above,24808.612297697015,above,45.54191564495456,neutral,1.4358782097245761,long,3.35542695,down,0.8668650055782819,True,90.0,16.75,-85.25,-26.75,15.0,48.75,uptrend_above_ema,orb_breakout_or_retest_candidate
