idea_id,entry_time_et,exit_time_et,direction,fill_count,net_pnl,setup_label,time_bucket,or_classification,entry_vs_or,first_completed_or_breakout,entry_vs_vwap,entry_vs_15m_ema9,rsi_regime,trend_state,volume_ratio_15m,prior_day_trend_direction,prior_day_zombie_proxy,minutes_to_15m_close_at_entry,mae_points,mfe_points,move_after_15m_points,move_after_30m_points
6,2025-11-17 10:07:07.726037-05:00,2025-11-17 11:53:39.775179-05:00,short,6,170.56,inverse_orb_candidate,10:00-11:00,wide,inside_or,long,below,below,neutral,mixed,1.7520260117529851,up,False,7.8712327166666665,47.125,195.375,33.875,49.125
134,2026-02-27 12:57:13.346741-05:00,2026-02-27 15:27:20.053706-05:00,long,3,170.3,orb_breakout_or_retest_candidate,12:00-13:30,normal,inside_or,long,below,below,neutral,downtrend_below_ema,0.9811728664588136,down,False,2.7775543166666665,30.849999999998545,100.15000000000146,9.650000000001455,-22.099999999998545
82,2026-01-14 10:26:46.743905-05:00,2026-01-14 10:31:27.446127-05:00,short,1,167.26,orb_breakout_or_retest_candidate,10:00-11:00,wide,inside_or,short,above,below,neutral,downtrend_below_ema,2.394831115897115,down,False,3.2209349166666663,6.25,90.25,54.0,170.5
123,2026-02-17 09:53:59.546958-05:00,2026-02-17 12:12:26.812345-05:00,short,2,164.01999999999998,discretionary_or_unclassified,09:30-10:00,normal,inside_or,none,below,below,bear_trend_zone,downtrend_below_ema,2.6955223908217847,up,False,6.0075506999999995,178.125,169.125,85.375,75.375
200,2026-04-23 11:08:04.849126-04:00,2026-04-23 14:50:32.235410-04:00,short,14,159.14000000000001,discretionary_or_unclassified,11:00-12:00,normal,inside_or,long,below,below,neutral,mixed,1.3590225836984788,up,True,6.919181233333333,169.94642857142753,306.05357142857247,-159.69642857142753,-143.94642857142753
197,2026-04-21 10:25:10.142551-04:00,2026-04-21 10:58:44.328280-04:00,short,1,148.26,discretionary_or_unclassified,10:00-11:00,normal,inside_or,long,above,above,bull_trend_zone,uptrend_above_ema,2.2745030046083965,down,False,4.830957483333333,28.0,100.0,-1.5,44.25
132,2026-02-26 10:30:46.593621-05:00,2026-02-26 10:40:51.399837-05:00,long,1,138.26,discretionary_or_unclassified,10:00-11:00,tight,below_or,short,below,below,bear_trend_zone,downtrend_below_ema,4.104874643252898,up,True,14.22343965,43.0,92.75,110.75,113.75
27,2025-11-28 09:39:32.875381-05:00,2025-11-28 11:21:29.892457-05:00,short,5,136.84,pre_or_locked_trade,09:30-10:00,tight,inside_or,none,above,unknown,unknown,unknown,,up,False,5.452076983333333,28.277777777777374,79.22222222222263,26.472222222222626,33.222222222222626
171,2026-03-27 10:00:10.695454-04:00,2026-03-27 11:31:00.763969-04:00,long,2,135.02,discretionary_or_unclassified,10:00-11:00,normal,below_or,short,below,below,bear_trend_zone,downtrend_below_ema,2.1078887549771923,down,True,14.821742433333332,79.375,87.625,20.625,-35.125
167,2026-03-26 10:43:14.121860-04:00,2026-03-26 12:17:09.162305-04:00,short,4,121.04,discretionary_or_unclassified,10:00-11:00,tight,inside_or,long,below,below,bear_trend_zone,downtrend_below_ema,1.2595180860054034,down,False,1.7646356666666667,60.3125,83.1875,0.4375,-1.8125
195,2026-04-20 09:50:17.227233-04:00,2026-04-20 10:51:13.507284-04:00,short,3,119.28,discretionary_or_unclassified,09:30-10:00,normal,inside_or,none,below,below,neutral,downtrend_below_ema,2.500956136455228,up,False,9.71287945,51.5,140.5,-11.5,15.25
91,2026-01-21 11:55:03.087982-05:00,2026-01-21 14:27:44.639713-05:00,long,13,118.38000000000001,orb_breakout_or_retest_candidate,11:00-12:00,normal,above_or,long,below,below,neutral,downtrend_below_ema,1.8911234085356434,down,False,4.948533633333333,97.90384615384755,171.09615384615245,-40.90384615384755,-20.153846153847553
24,2025-11-26 09:30:34.230578-05:00,2025-11-26 09:52:12.441897-05:00,short,3,117.78,pre_or_locked_trade,09:30-10:00,tight,inside_or,none,unknown,unknown,unknown,unknown,,up,False,14.429490366666666,48.58333333333212,43.66666666666788,-12.08333333333212,84.16666666666788
124,2026-02-18 11:03:53.001946-05:00,2026-02-18 13:44:48.154161-05:00,short,1,111.26,discretionary_or_unclassified,11:00-12:00,tight,above_or,long,above,above,bull_trend_zone,uptrend_above_ema,0.8671152558372538,up,False,11.116634233333334,40.75,78.0,-1.0,-20.5
118,2026-02-12 09:55:01.363693-05:00,2026-02-12 10:01:21.779218-05:00,short,1,106.26,discretionary_or_unclassified,09:30-10:00,tight,below_or,none,below,below,neutral,mixed,2.7034435815723525,down,False,4.977271783333333,2.75,93.25,61.25,44.0
11,2025-11-19 10:01:52.772502-05:00,2025-11-19 11:24:59.720750-05:00,short,5,105.32000000000001,discretionary_or_unclassified,10:00-11:00,normal,above_or,long,above,above,neutral,uptrend_above_ema,1.7577146026743087,down,False,13.1204583,69.96428571428623,251.03571428571377,-59.964285714286234,-26.964285714286234
45,2025-12-10 13:18:53.667488-05:00,2025-12-10 15:52:01.034138-05:00,short,6,97.32000000000001,discretionary_or_unclassified,12:00-13:30,normal,above_or,short,above,above,neutral,uptrend_above_ema,0.4602940314221546,up,False,11.105541866666666,94.8928571428587,195.8571428571413,165.1071428571413,146.3571428571413
162,2026-03-23 10:36:26.322896-04:00,2026-03-23 12:25:24.223052-04:00,short,3,96.78,discretionary_or_unclassified,10:00-11:00,normal,inside_or,long,below,above,bull_trend_zone,uptrend_above_ema,4.121583364870375,flat,False,8.561285066666667,168.66666666666788,174.83333333333212,-81.66666666666788,-139.16666666666788
191,2026-04-10 09:47:22.479268-04:00,2026-04-10 10:10:02.272562-04:00,short,1,93.76,discretionary_or_unclassified,09:30-10:00,tight,inside_or,none,near,above,bull_trend_zone,uptrend_above_ema,2.2808249291174674,up,False,12.625345533333332,21.75,64.75,39.5,9.25
96,2026-01-27 10:05:07.299025-05:00,2026-01-27 13:02:28.443678-05:00,short,2,88.03999999999999,discretionary_or_unclassified,10:00-11:00,normal,above_or,long,above,above,bull_trend_zone,uptrend_above_ema,2.7871840949736213,up,False,9.878349583333334,50.375,34.625,-14.125,-15.125
194,2026-04-16 09:41:38.318596-04:00,2026-04-16 10:26:59.077911-04:00,short,1,85.76,pre_or_locked_trade,09:30-10:00,normal,inside_or,none,below,unknown,unknown,unknown,,up,True,3.361356733333333,24.5,105.25,68.0,26.5
73,2026-01-07 10:04:30.256596-05:00,2026-01-07 12:06:05.943602-05:00,short,7,85.32000000000001,discretionary_or_unclassified,10:00-11:00,normal,above_or,none,above,above,bull_trend_zone,uptrend_above_ema,2.102944801903011,up,True,10.495723400000001,100.82142857142753,77.67857142857247,49.92857142857247,4.178571428572468
86,2026-01-16 09:35:00.665283-05:00,2026-01-16 09:55:11.970973-05:00,short,2,83.52,pre_or_locked_trade,09:30-10:00,tight,inside_or,none,below,unknown,unknown,unknown,,down,True,9.988911949999999,47.875,81.625,15.125,84.625
127,2026-02-23 09:58:40.905914-05:00,2026-02-23 10:04:56.742427-05:00,short,1,80.76,discretionary_or_unclassified,09:30-10:00,normal,inside_or,none,below,below,neutral,downtrend_below_ema,2.7322112987405407,up,True,1.3182347666666667,45.0,62.0,35.75,37.5
51,2025-12-17 10:46:09.623144-05:00,2025-12-17 10:50:27.850306-05:00,long,2,79.02000000000001,discretionary_or_unclassified,10:00-11:00,normal,inside_or,short,above,above,neutral,mixed,1.5899836919353991,up,False,13.839614266666667,241.25,-183.75,-289.0,-317.75
153,2026-03-18 09:46:17.470060-04:00,2026-03-18 12:41:16.217407-04:00,short,2,73.52000000000001,discretionary_or_unclassified,09:30-10:00,tight,above_or,none,above,above,neutral,mixed,2.4895714052020286,up,False,13.708832333333334,-140.625,325.375,183.375,227.875
42,2025-12-09 12:04:06.941905-05:00,2025-12-09 14:08:28.637320-05:00,short,4,72.53999999999999,discretionary_or_unclassified,12:00-13:30,tight,above_or,long,above,above,neutral,uptrend_above_ema,0.8250126935690537,down,False,10.884301583333333,22.75,26.75,8.75,11.0
