row_id,symbol,contract,direction,entry_time_et,exit_time_et,entry_price,exit_price,size,gross_pnl,fees,net_pnl,source_position_size
2227219078,F.US.MNQ,MNQH26,short,2026-03-04 10:31:29.226419-05:00,2026-03-04 10:41:18.226067-05:00,25125.5,25070.0,5,555.0,3.7,551.3,5.0
2229239216,F.US.MNQ,MNQH26,short,2026-03-04 10:42:21.422025-05:00,2026-03-04 15:07:33.096455-05:00,25071.0,25168.75,1,-195.5,0.74,-196.24,1.0
2229239218,F.US.MNQ,MNQH26,short,2026-03-04 13:50:51.317562-05:00,2026-03-04 15:07:33.096459-05:00,25207.0,25168.75,3,229.5,2.22,227.28,3.0
2235130787,F.US.MNQ,MNQH26,short,2026-03-05 10:19:26.530576-05:00,2026-03-05 10:37:12.800805-05:00,25105.0,25005.0,1,200.0,0.74,199.26,1.0
2235404504,F.US.MNQ,MNQH26,short,2026-03-05 10:45:38.094169-05:00,2026-03-05 10:53:46.821301-05:00,25046.0,25091.5,1,-91.0,0.74,-91.74,1.0
2235678073,F.US.MNQ,MNQH26,short,2026-03-05 11:02:46.203905-05:00,2026-03-05 11:13:16.506398-05:00,25052.25,24981.5,1,141.5,0.74,140.76,1.0
2243830962,F.US.MNQ,MNQH26,short,2026-03-06 11:17:57.247233-05:00,2026-03-06 11:24:11.697987-05:00,24819.25,24799.5,1,39.5,0.74,38.76,1.0
2252049036,F.US.MNQ,MNQH26,short,2026-03-09 10:01:05.731506-04:00,2026-03-09 11:30:09.696698-04:00,24376.5,24630.75,1,-508.5,0.74,-509.24,1.0
2252049037,F.US.MNQ,MNQH26,short,2026-03-09 10:51:35.008720-04:00,2026-03-09 11:30:09.696704-04:00,24563.0,24630.75,3,-406.5,2.22,-408.72,3.0
2252049038,F.US.MNQ,MNQH26,short,2026-03-09 11:13:28.937371-04:00,2026-03-09 11:30:09.696711-04:00,24605.5,24630.75,8,-404.0,5.92,-409.92,8.0
2252049039,F.US.MNQ,MNQH26,short,2026-03-09 11:25:39.844017-04:00,2026-03-09 11:30:09.696717-04:00,24635.25,24630.75,15,135.0,11.1,123.9,15.0
2252049040,F.US.MNQ,MNQH26,short,2026-03-09 11:25:41.390358-04:00,2026-03-09 11:30:09.696721-04:00,24636.75,24630.75,15,180.0,11.1,168.9,15.0
2252049042,F.US.MNQ,MNQH26,short,2026-03-09 11:25:45.061773-04:00,2026-03-09 11:30:09.696727-04:00,24635.25,24630.75,15,135.0,11.1,123.9,15.0
2252049043,F.US.MNQ,MNQH26,short,2026-03-09 11:27:19.849189-04:00,2026-03-09 11:30:09.696730-04:00,24645.75,24630.75,10,300.0,7.4,292.6,10.0
2252049044,F.US.MNQ,MNQH26,short,2026-03-09 11:27:20.054095-04:00,2026-03-09 11:30:09.696736-04:00,24645.5,24630.75,10,295.0,7.4,287.6,10.0
2252049045,F.US.MNQ,MNQH26,short,2026-03-09 11:27:20.147394-04:00,2026-03-09 11:30:09.696740-04:00,24645.75,24630.75,10,300.0,7.4,292.6,10.0
2252049046,F.US.MNQ,MNQH26,short,2026-03-09 11:27:20.297867-04:00,2026-03-09 11:30:09.696746-04:00,24646.0,24630.75,10,305.0,7.4,297.6,10.0
2253003705,F.US.MNQ,MNQH26,short,2026-03-09 11:30:26.738159-04:00,2026-03-09 13:39:31.620449-04:00,24634.0,24605.75,1,56.5,0.74,55.76,1.0
2256673126,F.US.MNQ,MNQH26,short,2026-03-09 18:24:23.908309-04:00,2026-03-10 04:58:34.800788-04:00,24891.75,25083.5,1,-383.5,0.74,-384.24,1.0
2256673127,F.US.MNQ,MNQH26,short,2026-03-10 03:24:00.249388-04:00,2026-03-10 04:58:34.800814-04:00,25032.25,25083.5,1,-102.5,0.74,-103.24,1.0
2256673128,F.US.MNQ,MNQH26,short,2026-03-10 03:29:52.648818-04:00,2026-03-10 04:58:34.800820-04:00,25061.75,25083.5,1,-43.5,0.74,-44.24,1.0
2256673129,F.US.MNQ,MNQH26,short,2026-03-10 04:08:42.549412-04:00,2026-03-10 04:58:34.800824-04:00,25134.0,25083.5,7,707.0,5.18,701.82,7.0
2257010710,F.US.MNQ,MNQH26,short,2026-03-10 04:58:40.400080-04:00,2026-03-10 07:14:45.951731-04:00,25085.0,25011.25,1,147.5,0.74,146.76,1.0
2259967270,F.US.MNQ,MNQH26,short,2026-03-10 10:55:50.113049-04:00,2026-03-10 11:34:58.767740-04:00,25133.0,25112.5,1,41.0,0.74,40.26,1.0
2261262083,F.US.MNQ,MNQH26,short,2026-03-10 13:36:49.332421-04:00,2026-03-10 14:13:46.330166-04:00,25140.0,25159.5,1,-39.0,0.74,-39.74,1.0
2261295317,F.US.MNQ,MNQH26,short,2026-03-10 14:14:24.529908-04:00,2026-03-10 14:14:52.529646-04:00,25089.25,25043.75,1,91.0,0.74,90.26,1.0
2264218988,F.US.MNQ,MNQH26,short,2026-03-11 04:27:47.743037-04:00,2026-03-11 04:45:28.393648-04:00,25006.75,24993.75,1,26.0,0.74,25.26,1.0
2266932243,F.US.MNQ,MNQH26,short,2026-03-11 10:24:38.002834-04:00,2026-03-11 10:34:10.043235-04:00,25025.75,24970.25,1,111.0,0.74,110.26,1.0
2267955603,F.US.MNQ,MNQH26,short,2026-03-11 11:32:12.992418-04:00,2026-03-11 11:46:46.401992-04:00,24918.0,24916.75,1,2.5,0.74,1.76,1.0
2268715203,F.US.MNQ,MNQH26,short,2026-03-11 13:11:14.492898-04:00,2026-03-11 13:30:31.700235-04:00,25002.75,25015.0,1,-24.5,0.74,-25.24,1.0
2268740975,F.US.MNQ,MNQH26,short,2026-03-11 13:31:19.448689-04:00,2026-03-11 13:34:54.045795-04:00,25000.0,24998.0,1,4.0,0.74,3.26,1.0
2268880637,F.US.MNQ,MNQH26,short,2026-03-11 13:43:56.592671-04:00,2026-03-11 13:47:35.663008-04:00,24911.5,24947.25,1,-71.5,0.74,-72.24,1.0
2269917705,F.US.MNQ,MNQH26,short,2026-03-11 18:31:03.086904-04:00,2026-03-11 18:39:25.033288-04:00,24864.5,24825.5,1,78.0,0.74,77.26,1.0
2273735465,F.US.MNQ,MNQH26,short,2026-03-12 09:51:49.843583-04:00,2026-03-12 09:52:18.393173-04:00,24734.5,24722.0,1,25.0,0.74,24.26,1.0
2274528342,F.US.MNQ,MNQH26,short,2026-03-12 10:04:13.388115-04:00,2026-03-12 10:30:06.985459-04:00,24730.75,24619.25,1,223.0,0.74,222.26,1.0
2281418600,F.US.MNQ,MNQH26,short,2026-03-13 09:45:09.274633-04:00,2026-03-13 09:58:02.371923-04:00,24766.0,24740.0,1,52.0,0.74,51.26,1.0
2290034169,F.US.MNQ,MNQH26,short,2026-03-16 10:48:26.219151-04:00,2026-03-16 10:50:29.722570-04:00,24638.25,24630.25,1,16.0,0.74,15.26,1.0
2291270799,F.US.MNQ,MNQH26,short,2026-03-16 12:09:40.964207-04:00,2026-03-16 12:42:40.115811-04:00,24677.5,24675.25,1,4.5,0.74,3.76,1.0
2299854163,F.US.MNQ,MNQM26,short,2026-03-17 08:36:46.683215-04:00,2026-03-17 16:01:45.408147-04:00,24923.75,25017.25,1,-187.0,0.74,-187.74,1.0
2299854164,F.US.MNQ,MNQM26,short,2026-03-17 09:20:08.427187-04:00,2026-03-17 16:01:45.408152-04:00,25000.5,25017.25,1,-33.5,0.74,-34.24,1.0
2299854165,F.US.MNQ,MNQM26,short,2026-03-17 15:56:59.853443-04:00,2026-03-17 16:01:45.408156-04:00,25008.25,25017.25,3,-54.0,2.22,-56.22,3.0
2299854166,F.US.MNQ,MNQM26,short,2026-03-17 16:00:04.803048-04:00,2026-03-17 16:01:45.408160-04:00,25013.0,25017.25,5,-42.5,3.7,-46.2,5.0
2299854167,F.US.MNQ,MNQM26,short,2026-03-17 16:00:47.659271-04:00,2026-03-17 16:01:45.408164-04:00,25019.5,25017.25,10,45.0,7.4,37.6,10.0
2299854168,F.US.MNQ,MNQM26,short,2026-03-17 16:01:02.104910-04:00,2026-03-17 16:01:45.408167-04:00,25021.25,25017.25,10,80.0,7.4,72.6,10.0
2299854169,F.US.MNQ,MNQM26,short,2026-03-17 16:01:18.405892-04:00,2026-03-17 16:01:45.408171-04:00,25021.5,25017.25,15,127.5,11.1,116.4,15.0
2299854170,F.US.MNQ,MNQM26,short,2026-03-17 16:01:22.101849-04:00,2026-03-17 16:01:45.408174-04:00,25023.25,25017.25,15,180.0,11.1,168.9,15.0
2302122003,F.US.MNQ,MNQM26,short,2026-03-18 04:02:20.530272-04:00,2026-03-18 07:00:51.682152-04:00,25165.75,25152.25,1,27.0,0.74,26.26,1.0
2303755920,F.US.MNQ,MNQM26,short,2026-03-18 09:46:17.470060-04:00,2026-03-18 09:58:25.635344-04:00,24955.25,24953.5,1,3.5,0.74,2.76,1.0
2305670498,F.US.MNQ,MNQM26,short,2026-03-18 11:01:54.550243-04:00,2026-03-18 12:41:16.217407-04:00,24885.0,24849.25,1,71.5,0.74,70.76,1.0
2312990223,F.US.MNQ,MNQM26,short,2026-03-19 10:10:11.960194-04:00,2026-03-19 11:06:32.959332-04:00,24478.5,24559.0,1,-161.0,0.74,-161.74,1.0
2313048593,F.US.MNQ,MNQM26,long,2026-03-19 11:06:32.959339-04:00,2026-03-19 11:10:02.758122-04:00,24559.0,24533.75,2,-101.0,1.48,-102.48,-2.0
2313048594,F.US.MNQ,MNQM26,long,2026-03-19 11:09:15.616489-04:00,2026-03-19 11:10:02.758130-04:00,24518.0,24533.75,5,157.5,3.7,153.8,-5.0
2313223865,F.US.MNQ,MNQM26,short,2026-03-19 11:10:56.061765-04:00,2026-03-19 11:24:38.807841-04:00,24525.25,24466.25,1,118.0,0.74,117.26,1.0
2313320888,F.US.MNQ,MNQM26,short,2026-03-19 11:27:20.257572-04:00,2026-03-19 11:32:04.057866-04:00,24448.75,24433.75,1,30.0,0.74,29.26,1.0
2314036142,F.US.MNQ,MNQM26,short,2026-03-19 12:51:05.228103-04:00,2026-03-19 12:53:00.127326-04:00,24451.25,24431.25,1,40.0,0.74,39.26,1.0
2314325076,F.US.MNQ,MNQM26,short,2026-03-19 13:32:34.631018-04:00,2026-03-19 13:33:31.683148-04:00,24445.75,24442.0,1,7.5,0.74,6.76,1.0
2321327431,F.US.MNQ,MNQM26,long,2026-03-20 10:05:07.715155-04:00,2026-03-20 12:06:21.135641-04:00,24309.0,24335.5,1,53.0,0.74,52.26,-1.0
2321545851,F.US.MNQ,MNQM26,short,2026-03-20 12:30:15.137757-04:00,2026-03-20 12:31:31.873542-04:00,24295.5,24270.5,1,50.0,0.74,49.26,1.0
2322079593,F.US.MNQ,MNQM26,long,2026-03-20 13:38:35.797004-04:00,2026-03-20 13:42:21.842675-04:00,24178.5,24185.75,1,14.5,0.74,13.76,-1.0
2323867048,F.US.MNQ,MNQM26,short,2026-03-22 18:34:50.185300-04:00,2026-03-22 19:45:42.244614-04:00,24049.5,24012.75,1,73.5,0.74,72.76,1.0
2326752236,F.US.MNQ,MNQM26,short,2026-03-23 07:10:44.207389-04:00,2026-03-23 07:20:55.564326-04:00,24586.0,24564.75,1,42.5,0.74,41.76,1.0
2328680090,F.US.MNQ,MNQM26,short,2026-03-23 10:36:26.322896-04:00,2026-03-23 10:37:01.973113-04:00,24627.5,24606.5,1,42.0,0.74,41.26,1.0
2329442381,F.US.MNQ,MNQM26,short,2026-03-23 11:37:45.363747-04:00,2026-03-23 11:39:16.731094-04:00,24555.0,24541.25,1,27.5,0.74,26.76,1.0
2329891786,F.US.MNQ,MNQM26,short,2026-03-23 12:25:08.728151-04:00,2026-03-23 12:25:24.223052-04:00,24378.5,24363.75,1,29.5,0.74,28.76,1.0
2331018988,F.US.MNQ,MNQM26,short,2026-03-23 15:32:25.236738-04:00,2026-03-23 15:36:49.542829-04:00,24475.25,24471.0,1,8.5,0.74,7.76,1.0
2337614997,F.US.MNQ,MNQM26,short,2026-03-24 09:57:41.767244-04:00,2026-03-24 11:32:49.646667-04:00,24202.5,24305.5,1,-206.0,0.74,-206.74,1.0
2337614998,F.US.MNQ,MNQM26,short,2026-03-24 11:30:44.996417-04:00,2026-03-24 11:32:49.646686-04:00,24342.75,24305.5,4,298.0,2.96,295.04,4.0
2338362991,F.US.MNQ,MNQM26,short,2026-03-24 11:32:58.797877-04:00,2026-03-24 12:55:41.019672-04:00,24312.5,24266.25,1,92.5,0.74,91.76,1.0
2338550932,F.US.MNQ,MNQM26,short,2026-03-24 13:10:13.489953-04:00,2026-03-24 13:16:22.531088-04:00,24180.5,24171.0,1,19.0,0.74,18.26,1.0
2338663625,F.US.MNQ,MNQM26,short,2026-03-24 13:32:50.326080-04:00,2026-03-24 13:32:59.326345-04:00,24210.75,24209.0,1,3.5,0.74,2.76,1.0
2344185527,F.US.MNQ,MNQM26,short,2026-03-25 09:50:12.733886-04:00,2026-03-25 09:59:59.733906-04:00,24415.75,24368.0,1,95.5,0.74,94.76,1.0
2344551317,F.US.MNQ,MNQM26,short,2026-03-25 10:06:35.036795-04:00,2026-03-25 10:14:58.355387-04:00,24418.25,24460.75,1,-85.0,0.74,-85.74,1.0
2345478609,F.US.MNQ,MNQM26,short,2026-03-25 10:20:20.085862-04:00,2026-03-25 11:16:45.445077-04:00,24453.25,24330.75,1,245.0,0.74,244.26,1.0
2345844210,F.US.MNQ,MNQM26,short,2026-03-25 11:23:20.439187-04:00,2026-03-25 11:42:22.243489-04:00,24359.25,24369.25,1,-20.0,0.74,-20.74,1.0
2345865121,F.US.MNQ,MNQM26,short,2026-03-25 11:43:56.732404-04:00,2026-03-25 11:44:07.462112-04:00,24346.25,24355.75,1,-19.0,0.74,-19.74,1.0
2345915680,F.US.MNQ,MNQM26,short,2026-03-25 11:47:13.633558-04:00,2026-03-25 11:49:49.438881-04:00,24349.75,24365.25,1,-31.0,0.74,-31.74,1.0
2346517058,F.US.MNQ,MNQM26,short,2026-03-25 13:05:28.103302-04:00,2026-03-25 13:05:52.002169-04:00,24393.25,24384.25,1,18.0,0.74,17.26,1.0
2346829741,F.US.MNQ,MNQM26,short,2026-03-25 13:50:59.303889-04:00,2026-03-25 13:51:15.404557-04:00,24432.25,24426.75,1,11.0,0.74,10.26,1.0
2350151222,F.US.MNQ,MNQM26,short,2026-03-26 04:29:45.642976-04:00,2026-03-26 04:38:02.259718-04:00,24193.5,24189.5,1,8.0,0.74,7.26,1.0
2352798179,F.US.MNQ,MNQM26,short,2026-03-26 10:43:14.121860-04:00,2026-03-26 10:44:22.762377-04:00,24145.75,24123.25,1,45.0,0.74,44.26,1.0
2352965950,F.US.MNQ,MNQM26,short,2026-03-26 10:49:32.564356-04:00,2026-03-26 10:54:01.166429-04:00,24097.75,24082.75,1,30.0,0.74,29.26,1.0
2353291149,F.US.MNQ,MNQM26,short,2026-03-26 11:08:44.163054-04:00,2026-03-26 11:17:25.367162-04:00,24092.0,24083.0,1,18.0,0.74,17.26,1.0
2353853580,F.US.MNQ,MNQM26,short,2026-03-26 12:11:47.819596-04:00,2026-03-26 12:17:09.162305-04:00,24066.25,24050.75,1,31.0,0.74,30.26,1.0
2354854108,F.US.MNQ,MNQM26,short,2026-03-26 14:16:03.132140-04:00,2026-03-26 14:16:40.832911-04:00,23868.5,23867.5,1,2.0,0.74,1.26,1.0
2354949152,F.US.MNQ,MNQM26,short,2026-03-26 14:30:17.174024-04:00,2026-03-26 14:30:51.280800-04:00,23850.5,23860.75,1,-20.5,0.74,-21.24,1.0
2355083222,F.US.MNQ,MNQM26,long,2026-03-26 14:39:25.278026-04:00,2026-03-26 14:53:00.225408-04:00,23873.5,23883.5,1,20.0,0.74,19.26,-1.0
2357787770,F.US.MNQ,MNQM26,short,2026-03-27 04:13:09.685936-04:00,2026-03-27 04:18:06.687446-04:00,23840.5,23815.0,1,51.0,0.74,50.26,1.0
2360044851,F.US.MNQ,MNQM26,long,2026-03-27 10:00:10.695454-04:00,2026-03-27 10:12:40.032911-04:00,23484.75,23532.75,1,96.0,0.74,95.26,-1.0
2361177841,F.US.MNQ,MNQM26,long,2026-03-27 11:30:39.214920-04:00,2026-03-27 11:31:00.763969-04:00,23551.5,23571.75,1,40.5,0.74,39.76,-1.0
2362704667,F.US.MNQ,MNQM26,long,2026-03-27 15:21:34.532885-04:00,2026-03-27 15:23:51.433036-04:00,23338.25,23345.25,1,14.0,0.74,13.26,-1.0
2364865824,F.US.MNQ,MNQM26,long,2026-03-29 18:07:04.772800-04:00,2026-03-29 23:08:40.095680-04:00,23160.75,23285.75,1,250.0,0.74,249.26,-1.0
2365993203,F.US.MNQ,MNQM26,short,2026-03-30 03:30:07.898734-04:00,2026-03-30 06:43:42.908396-04:00,23384.25,23382.75,1,3.0,0.74,2.26,1.0
2369334997,F.US.MNQ,MNQM26,short,2026-03-30 12:24:37.707412-04:00,2026-03-30 12:27:14.015200-04:00,23295.5,23287.75,1,15.5,0.74,14.76,1.0
2374003490,F.US.MNQ,MNQM26,short,2026-03-31 06:44:04.638398-04:00,2026-03-31 07:49:09.278562-04:00,23246.25,23348.0,1,-203.5,0.74,-204.24,1.0
2374003491,F.US.MNQ,MNQM26,short,2026-03-31 07:44:25.826110-04:00,2026-03-31 07:49:09.278582-04:00,23374.5,23348.0,4,212.0,2.96,209.04,4.0
2374091693,F.US.MNQ,MNQM26,short,2026-03-31 07:51:43.876987-04:00,2026-03-31 08:12:50.037215-04:00,23342.75,23336.5,1,12.5,0.74,11.76,1.0
2375983595,F.US.MNQ,MNQM26,short,2026-03-31 10:35:09.691052-04:00,2026-03-31 10:38:54.991978-04:00,23566.25,23512.0,1,108.5,0.74,107.76,1.0
2376444758,F.US.MNQ,MNQM26,short,2026-03-31 11:02:25.289385-04:00,2026-03-31 11:06:12.096944-04:00,23453.5,23496.25,1,-85.5,0.74,-86.24,1.0
2376930391,F.US.MNQ,MNQM26,short,2026-03-31 11:21:23.878427-04:00,2026-03-31 11:51:32.543903-04:00,23499.5,23497.0,1,5.0,0.74,4.26,1.0
2377010538,F.US.MNQ,MNQM26,short,2026-03-31 11:56:33.792785-04:00,2026-03-31 12:00:26.746006-04:00,23479.75,23444.5,1,70.5,0.74,69.76,1.0
2377315072,F.US.MNQ,MNQM26,short,2026-03-31 12:04:28.990684-04:00,2026-03-31 12:38:23.571033-04:00,23479.5,23597.75,1,-236.5,0.74,-237.24,1.0
2377315074,F.US.MNQ,MNQM26,short,2026-03-31 12:37:28.087016-04:00,2026-03-31 12:38:23.571037-04:00,23568.75,23597.75,3,-174.0,2.22,-176.22,3.0
2377334032,F.US.MNQ,MNQM26,short,2026-03-31 12:38:31.589536-04:00,2026-03-31 12:39:29.738122-04:00,23597.0,23625.0,3,-168.0,2.22,-170.22,3.0
2377349008,F.US.MNQ,MNQM26,long,2026-03-31 12:39:29.738130-04:00,2026-03-31 12:40:00.837701-04:00,23625.0,23668.25,2,173.0,1.48,171.52,-2.0
