idea_id,fill_count,source_row_ids,symbol,contract,direction,entry_time_et,exit_time_et,trade_date_et,duration_minutes,weighted_entry_price,weighted_exit_price,contract_turnover,max_overlapping_contracts,gross_pnl,fees,net_pnl
191,1,2433980608,F.US.MNQ,MNQM26,short,2026-04-10 09:47:22.479268-04:00,2026-04-10 10:10:02.272562-04:00,2026-04-10,22.663221566666667,25333.5,25286.25,1,1,94.5,0.74,93.76
192,1,2441827657,F.US.MNQ,MNQM26,short,2026-04-13 10:02:35.902811-04:00,2026-04-13 10:22:00.663667-04:00,2026-04-13,19.412680933333334,25296.5,25294.25,1,1,4.5,0.74,3.76
193,10,2448721174|2448721177|2449821999|2451652008|2451652009|2451863117|2451863118|2451863119|2451863120|2451863121,F.US.MNQ,MNQM26,short,2026-04-14 10:00:34.273271-04:00,2026-04-14 16:09:52.738386-04:00,2026-04-14,369.30775191666663,25962.896739130436,25961.896739130436,46,24,92.0,34.04,57.95999999999995
194,1,2463171011,F.US.MNQ,MNQM26,short,2026-04-16 09:41:38.318596-04:00,2026-04-16 10:26:59.077911-04:00,2026-04-16,45.34598858333333,26381.0,26337.75,1,1,86.5,0.74,85.76
195,3,2476537412|2476537414|2477748529,F.US.MNQ,MNQM26,short,2026-04-20 09:50:17.227233-04:00,2026-04-20 10:51:13.507284-04:00,2026-04-20,60.93800085,26752.75,26732.5,3,2,121.5,2.2199999999999998,119.28
196,4,2479074011|2479715882|2479715884|2479735691,F.US.MNQ,MNQM26,short,2026-04-20 13:01:44.577118-04:00,2026-04-20 15:03:42.451773-04:00,2026-04-20,121.96457758333332,26722.333333333332,26719.0,6,4,40.0,4.44,35.56
197,1,2484827061,F.US.MNQ,MNQM26,short,2026-04-21 10:25:10.142551-04:00,2026-04-21 10:58:44.328280-04:00,2026-04-21,33.56976215,26830.0,26755.5,1,1,149.0,0.74,148.26
198,1,2485551196,F.US.MNQ,MNQM26,long,2026-04-21 11:43:33.221070-04:00,2026-04-21 11:44:51.213441-04:00,2026-04-21,1.29987285,26732.5,26735.25,1,1,5.5,0.74,4.76
199,7,2491623013|2491955402|2493433947|2493437132|2493663095|2493676693|2493697935,F.US.MNQ,MNQM26,short,2026-04-22 10:33:04.463592-04:00,2026-04-22 15:04:23.592520-04:00,2026-04-22,271.31881546666665,26992.071428571428,26988.964285714286,7,2,43.5,5.18,38.32000000000001
200,14,2498798831|2499017634|2499161054|2499190739|2499241323|2499982493|2500033853|2500164692|2500541106|2500605187|2500631842|2500652904|2500714038|2500747736,F.US.MNQ,MNQM26,short,2026-04-23 11:08:04.849126-04:00,2026-04-23 14:50:32.235410-04:00,2026-04-23,222.45643806666666,26986.053571428572,26980.0,14,1,169.5,10.36,159.14000000000001
