idea_id,direction,setup_label,human_entry_ts,human_entry_price,human_1c_net_pnl,mech_rule,mech_signal_ts,mech_entry_price,delta_minutes,delta_price_signed,or_high,or_low,or_size,or_class
63,long,orb_breakout_or_retest_candidate,2025-12-30 10:13:56.620036-05:00,25693.5,7.66,orb_break,2025-12-30 09:50:00-05:00,25743.75,23.94366726666667,-50.25,25733.0,25675.5,57.5,tight
64,long,orb_breakout_or_retest_candidate,2025-12-30 12:09:14.661275-05:00,25720.25,-0.8400000000000001,orb_break,2025-12-30 09:50:00-05:00,25743.75,139.24435458333335,-23.5,25733.0,25675.5,57.5,tight
66,long,discretionary_or_unclassified,2025-12-31 09:52:23.333375-05:00,25606.5,1.16,inverse_orb,2025-12-31 09:52:00-05:00,25624.0,0.38888958333333334,-17.5,25692.25,25608.75,83.5,tight
67,short,discretionary_or_unclassified,2026-01-02 09:56:03.642855-05:00,25736.0,140.66,inverse_orb,2026-01-02 10:00:00-05:00,25766.0,-3.9392857500000003,30.0,25733.5,25638.0,95.5,normal
68,long,discretionary_or_unclassified,2026-01-02 10:30:15.713787-05:00,25482.5,109.16,orb_break,2026-01-02 09:48:00-05:00,25763.25,42.26189645,-280.75,25733.5,25638.0,95.5,normal
70,short,pre_or_locked_trade,2026-01-05 09:30:41.584305-05:00,25653.03529411765,2.7305882352995106,inverse_orb,2026-01-05 10:30:00-05:00,25673.5,-59.306928250000006,20.464705882350245,25673.25,25538.5,134.75,normal
72,short,discretionary_or_unclassified,2026-01-06 15:17:30.523276-05:00,25815.5,1.66,inverse_orb,2026-01-06 11:02:00-05:00,25673.5,255.50872126666667,-142.0,25679.0,25608.75,70.25,tight
73,short,discretionary_or_unclassified,2026-01-07 10:04:30.256596-05:00,25886.678571428572,11.588571428572468,inverse_orb,2026-01-07 09:48:00-05:00,25870.75,16.5042766,-15.928571428572468,25864.25,25770.75,93.5,normal
74,long,pre_or_locked_trade,2026-01-08 09:44:51.457624-05:00,25620.3,53.66,inverse_orb,2026-01-08 10:06:00-05:00,25630.5,-21.142372933333334,-10.200000000000728,25802.75,25613.25,189.5,wide
75,short,inverse_orb_candidate,2026-01-09 10:30:11.675840-05:00,25856.0,74.66,orb_break,2026-01-09 10:09:00-05:00,25642.0,21.194597333333334,-214.0,25791.0,25648.25,142.75,wide
76,short,inverse_orb_candidate,2026-01-09 12:26:17.794338-05:00,25915.25,10.16,orb_break,2026-01-09 10:09:00-05:00,25642.0,137.2965723,-273.25,25791.0,25648.25,142.75,wide
78,short,pre_or_locked_trade,2026-01-12 09:39:15.763764-05:00,25952.041666666668,-1.09,inverse_orb,2026-01-12 10:04:00-05:00,25876.25,-24.7372706,-75.79166666666788,25892.5,25743.75,148.75,wide
79,short,discretionary_or_unclassified,2026-01-13 09:46:41.326614-05:00,25962.5,84.91,orb_break,2026-01-13 10:03:00-05:00,25917.5,-16.3112231,-45.0,26043.0,25930.75,112.25,normal
81,long,inverse_orb_candidate,2026-01-14 10:00:18.046975-05:00,25581.0,96.16,inverse_orb,2026-01-14 09:47:00-05:00,25658.0,13.300782916666666,-77.0,25791.25,25623.5,167.75,wide
82,short,orb_breakout_or_retest_candidate,2026-01-14 10:26:46.743905-05:00,25663.5,166.66,orb_break,2026-01-14 09:46:00-05:00,25652.0,40.77906508333333,-11.5,25791.25,25623.5,167.75,wide
83,long,inverse_orb_candidate,2026-01-14 12:01:38.402792-05:00,25463.25,9.16,inverse_orb,2026-01-14 09:47:00-05:00,25658.0,134.64004653333333,-194.75,25791.25,25623.5,167.75,wide
85,short,discretionary_or_unclassified,2026-01-15 09:55:36.631130-05:00,25907.5,33.16,orb_break,2026-01-15 10:08:00-05:00,25861.75,-12.389481166666666,-45.75,25946.75,25853.0,93.75,normal
86,short,pre_or_locked_trade,2026-01-16 09:35:00.665283-05:00,25832.625,41.16,orb_break,2026-01-16 09:52:00-05:00,25808.0,-16.98891195,-24.625,25891.25,25817.5,73.75,tight
87,short,orb_breakout_or_retest_candidate,2026-01-16 11:43:34.482257-05:00,25711.0,14.66,orb_break,2026-01-16 09:52:00-05:00,25808.0,111.57470428333333,97.0,25891.25,25817.5,73.75,tight
