rule,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,date,or_class
inverse_orb,short,2026-02-17 14:59:00-05:00,24814.25,2026-02-17 15:31:00-05:00,24754.75,target,117.66,2026-02-17,normal
ema_continuation,long,2026-02-17 12:13:00-05:00,24706.75,2026-02-17 12:22:00-05:00,24676.25,stop,-62.34,2026-02-17,normal
ema_continuation,short,2026-02-17 13:00:00-05:00,24677.25,2026-02-17 13:21:00-05:00,24707.75,stop,-62.34,2026-02-17,normal
orb_break,long,2026-02-18 09:46:00-05:00,24855.0,2026-02-18 09:48:00-05:00,24824.5,stop,-62.34,2026-02-18,tight
orb_retest,long,2026-02-18 09:47:00-05:00,24859.0,2026-02-18 09:48:00-05:00,24828.5,stop,-62.34,2026-02-18,tight
inverse_orb,short,2026-02-18 09:47:00-05:00,24858.0,2026-02-18 09:48:00-05:00,24798.5,target,117.66,2026-02-18,tight
ema_continuation,long,2026-02-18 09:50:00-05:00,24807.25,2026-02-18 09:54:00-05:00,24866.75,target,117.66,2026-02-18,tight
ema_continuation,short,2026-02-18 15:44:00-05:00,24941.5,2026-02-18 15:47:00-05:00,24972.0,stop,-62.34,2026-02-18,tight
orb_break,long,2026-02-19 09:54:00-05:00,24862.5,2026-02-19 10:03:00-05:00,24922.0,target,117.66,2026-02-19,normal
orb_break,short,2026-02-19 13:22:00-05:00,24767.5,2026-02-19 13:25:00-05:00,24798.0,stop,-62.34,2026-02-19,normal
orb_retest,long,2026-02-19 09:55:00-05:00,24908.25,2026-02-19 09:55:00-05:00,24877.75,stop,-62.34,2026-02-19,normal
orb_retest,short,2026-02-19 13:23:00-05:00,24781.5,2026-02-19 13:46:00-05:00,24812.0,stop,-62.34,2026-02-19,normal
inverse_orb,long,2026-02-19 13:23:00-05:00,24782.5,2026-02-19 13:59:00-05:00,24842.0,target,117.66,2026-02-19,normal
inverse_orb,short,2026-02-19 09:55:00-05:00,24907.25,2026-02-19 10:00:00-05:00,24847.75,target,117.66,2026-02-19,normal
ema_continuation,short,2026-02-19 10:16:00-05:00,24913.25,2026-02-19 10:30:00-05:00,24853.75,target,117.66,2026-02-19,normal
orb_break,long,2026-02-20 09:47:00-05:00,24915.25,2026-02-20 09:50:00-05:00,24884.75,stop,-62.34,2026-02-20,wide
orb_retest,long,2026-02-20 09:48:00-05:00,24909.5,2026-02-20 09:50:00-05:00,24879.0,stop,-62.34,2026-02-20,wide
inverse_orb,short,2026-02-20 09:48:00-05:00,24908.5,2026-02-20 09:59:00-05:00,24849.0,target,117.66,2026-02-20,wide
ema_continuation,long,2026-02-20 10:17:00-05:00,24964.25,2026-02-20 10:17:00-05:00,24933.75,stop,-62.34,2026-02-20,wide
orb_break,short,2026-02-23 09:46:00-05:00,24912.25,2026-02-23 09:50:00-05:00,24942.75,stop,-62.34,2026-02-23,normal
orb_retest,short,2026-02-23 09:47:00-05:00,24903.5,2026-02-23 09:50:00-05:00,24934.0,stop,-62.34,2026-02-23,normal
