date,rule_version,tier1_rule_hash,tier2_rule_hash,a_plus_rule_hash,data_file_hash,data_last_timestamp,run_timestamp_utc,clean,quality,rth_bar_count,expected_rth_bar_count,missing_minute_count,zero_volume_rth_count,zero_volume_post_or_count,session_end_ts,expected_session_end_ts,early_close_flag,full_session_clean,full_session_quality,or_class,or_percentile,or_history_count,or_history_window,or_high,or_low,or_size,or_close_position,execute_rule,tier1_a_plus_tag,tier1_eligible,tier1_rejection_reason,tier1_breakout_ts,tier1_signal_ts,tier1_entry_ts,tier1_raw_entry_price,tier1_entry_price,tier1_stop_price,tier1_target_price,tier1_exit_ts,tier1_raw_exit_price,tier1_exit_price,tier1_exit_reason,tier1_net_pnl,tier1_signal_bar_open,tier1_signal_bar_high,tier1_signal_bar_low,tier1_signal_bar_close,tier1_signal_bar_volume,tier1_signal_bar_vwap,tier1_entry_bar_open,tier1_entry_bar_high,tier1_entry_bar_low,tier1_entry_bar_close,tier1_entry_bar_volume,tier1_entry_bar_vwap,tier1_exit_bar_open,tier1_exit_bar_high,tier1_exit_bar_low,tier1_exit_bar_close,tier1_exit_bar_volume,tier1_exit_bar_vwap,tier2_shadow_eligible,tier2_shadow_rejection_reason,tier2_shadow_breakout_ts,tier2_shadow_signal_ts,tier2_shadow_entry_ts,tier2_shadow_raw_entry_price,tier2_shadow_entry_price,tier2_shadow_stop_price,tier2_shadow_target_price,tier2_shadow_exit_ts,tier2_shadow_raw_exit_price,tier2_shadow_exit_price,tier2_shadow_exit_reason,tier2_shadow_net_pnl,tier2_shadow_signal_bar_open,tier2_shadow_signal_bar_high,tier2_shadow_signal_bar_low,tier2_shadow_signal_bar_close,tier2_shadow_signal_bar_volume,tier2_shadow_signal_bar_vwap,tier2_shadow_entry_bar_open,tier2_shadow_entry_bar_high,tier2_shadow_entry_bar_low,tier2_shadow_entry_bar_close,tier2_shadow_entry_bar_volume,tier2_shadow_entry_bar_vwap,tier2_shadow_exit_bar_open,tier2_shadow_exit_bar_high,tier2_shadow_exit_bar_low,tier2_shadow_exit_bar_close,tier2_shadow_exit_bar_volume,tier2_shadow_exit_bar_vwap,a_plus_shadow_eligible,a_plus_shadow_rejection_reason,a_plus_shadow_breakout_ts,a_plus_shadow_signal_ts,a_plus_shadow_entry_ts,a_plus_shadow_raw_entry_price,a_plus_shadow_entry_price,a_plus_shadow_stop_price,a_plus_shadow_target_price,a_plus_shadow_exit_ts,a_plus_shadow_raw_exit_price,a_plus_shadow_exit_price,a_plus_shadow_exit_reason,a_plus_shadow_net_pnl,a_plus_shadow_signal_bar_open,a_plus_shadow_signal_bar_high,a_plus_shadow_signal_bar_low,a_plus_shadow_signal_bar_close,a_plus_shadow_signal_bar_volume,a_plus_shadow_signal_bar_vwap,a_plus_shadow_entry_bar_open,a_plus_shadow_entry_bar_high,a_plus_shadow_entry_bar_low,a_plus_shadow_entry_bar_close,a_plus_shadow_entry_bar_volume,a_plus_shadow_entry_bar_vwap,a_plus_shadow_exit_bar_open,a_plus_shadow_exit_bar_high,a_plus_shadow_exit_bar_low,a_plus_shadow_exit_bar_close,a_plus_shadow_exit_bar_volume,a_plus_shadow_exit_bar_vwap
2025-03-17,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-17 15:59:00-04:00,2025-03-17 15:59:00-04:00,False,True,clean,normal,70.0,20,20,19848.0,19684.0,164.0,0.7774390243902439,tier1_pilot,False,False,no_retest_signal,2025-03-17 14:11:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_retest_signal,2025-03-17 14:11:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_retest_signal,2025-03-17 14:11:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-18 15:59:00-04:00,2025-03-18 15:59:00-04:00,False,True,clean,wide,95.0,20,20,19693.5,19504.0,189.5,0.025065963060686015,tier1_pilot,False,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-19 15:59:00-04:00,2025-03-19 15:59:00-04:00,False,True,clean,normal,35.0,20,20,19610.5,19503.25,107.25,0.17249417249417248,tier1_pilot,False,True,,2025-03-19 09:54:00-04:00,2025-03-19 10:47:00-04:00,2025-03-19 10:48:00-04:00,19622.25,19624.75,19584.75,19674.75,2025-03-19 11:26:00-04:00,19674.75,19672.25,target,93.66,19610.5,19624.0,19608.0,19621.75,844.0,19613.99718818215,19622.25,19628.25,19615.0,19621.25,764.0,19614.070791441423,19667.25,19678.5,19667.25,19670.0,680.0,19617.293404318993,True,,2025-03-19 09:54:00-04:00,2025-03-19 10:47:00-04:00,2025-03-19 10:48:00-04:00,19622.25,19624.75,19584.75,19704.75,2025-03-19 11:50:00-04:00,19704.75,19702.25,target,153.66,19610.5,19624.0,19608.0,19621.75,844.0,19613.99718818215,19622.25,19628.25,19615.0,19621.25,764.0,19614.070791441423,19698.0,19712.0,19697.0,19710.75,1180.0,19623.521998639906,False,signal_filtered,2025-03-19 09:54:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-20 15:59:00-04:00,2025-03-20 15:59:00-04:00,False,True,clean,normal,55.00000000000001,20,20,19703.75,19553.75,150.0,0.8366666666666667,tier1_pilot,False,False,no_retest_signal,2025-03-20 09:45:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_retest_signal,2025-03-20 09:45:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_retest_signal,2025-03-20 09:45:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-21,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,zero_volume_or,390,390,0,390,375,2025-03-21 15:59:00-04:00,2025-03-21 15:59:00-04:00,False,False,zero_volume_or_and_post_or,unknown,,20,20,,,,,tier1_pilot,False,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-24,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-24 15:59:00-04:00,2025-03-24 15:59:00-04:00,False,True,clean,tight,0.0,20,20,20293.0,20228.75,64.25,0.14785992217898833,tier1_pilot,False,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,signal_filtered,2025-03-24 09:46:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-25,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-25 15:59:00-04:00,2025-03-25 15:59:00-04:00,False,True,clean,tight,0.0,20,20,20429.0,20368.5,60.5,0.4214876033057851,tier1_pilot,False,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,2025-03-25 10:15:00-04:00,2025-03-25 10:35:00-04:00,2025-03-25 10:36:00-04:00,20444.0,20446.5,20406.5,20526.5,2025-03-25 13:29:00-04:00,20406.5,20404.0,stop,-86.34,20433.75,20445.75,20432.25,20444.25,3857.0,20407.664835931617,20444.0,20449.5,20440.75,20448.5,2853.0,20408.003231533003,20417.75,20418.0,20402.0,20408.5,5239.0,20434.35693254729,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-26 15:59:00-04:00,2025-03-26 15:59:00-04:00,False,True,clean,tight,5.0,20,20,20475.0,20412.75,62.25,0.5180722891566265,tier1_pilot,False,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_upside_breakout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-27 15:59:00-04:00,2025-03-27 15:59:00-04:00,False,True,clean,normal,45.0,20,20,20069.75,19937.75,132.0,0.32007575757575757,tier1_pilot,False,True,,2025-03-27 09:55:00-04:00,2025-03-27 10:17:00-04:00,2025-03-27 10:18:00-04:00,20081.25,20083.75,20043.75,20133.75,2025-03-27 10:35:00-04:00,20133.75,20131.25,target,93.66,20069.5,20083.0,20060.0,20081.75,5398.0,20024.214947008713,20081.25,20086.75,20067.5,20070.5,3559.0,20024.702721837773,20128.5,20138.5,20124.0,20138.25,4687.0,20037.662593949186,True,,2025-03-27 09:55:00-04:00,2025-03-27 10:17:00-04:00,2025-03-27 10:18:00-04:00,20081.25,20083.75,20043.75,20163.75,2025-03-27 10:38:00-04:00,20163.75,20161.25,target,153.66,20069.5,20083.0,20060.0,20081.75,5398.0,20024.214947008713,20081.25,20086.75,20067.5,20070.5,3559.0,20024.702721837773,20149.5,20168.0,20149.25,20165.75,9481.0,20042.210727178666,False,signal_filtered,2025-03-27 09:55:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-28,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-28 15:59:00-04:00,2025-03-28 15:59:00-04:00,False,True,clean,tight,20.0,20,20,19941.25,19839.5,101.75,0.4152334152334152,tier1_pilot,False,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_upside_breakout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-03-31 15:59:00-04:00,2025-03-31 15:59:00-04:00,False,True,clean,wide,95.0,20,20,19192.25,19003.25,189.0,0.009259259259259259,tier1_pilot,False,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-04-01 15:59:00-04:00,2025-04-01 15:59:00-04:00,False,True,clean,tight,20.0,20,20,19433.0,19338.25,94.75,0.6596306068601583,tier1_pilot,False,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,2025-04-01 09:47:00-04:00,2025-04-01 10:42:00-04:00,2025-04-01 10:43:00-04:00,19438.75,19441.25,19401.25,19521.25,2025-04-01 11:00:00-04:00,19521.25,19518.75,target,153.66,19429.5,19443.0,19417.25,19438.25,7331.0,19367.773718879005,19438.75,19464.5,19437.0,19458.0,9949.0,19369.267407848896,19515.75,19524.75,19502.75,19521.25,7418.0,19384.390665420677,False,or_class_tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-04-02 15:59:00-04:00,2025-04-02 15:59:00-04:00,False,True,clean,wide,100.0,20,20,19533.75,19317.0,216.75,0.9815455594002307,tier1_pilot,False,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-04-03 15:59:00-04:00,2025-04-03 15:59:00-04:00,False,True,clean,normal,70.0,20,20,19074.0,18910.75,163.25,0.48085758039816234,tier1_pilot,False,False,no_upside_breakout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_upside_breakout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_upside_breakout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-04,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-04-04 15:59:00-04:00,2025-04-04 15:59:00-04:00,False,True,clean,wide,100.0,20,20,18248.75,18008.25,240.5,0.08523908523908524,tier1_pilot,False,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-07,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,True,clean,390,390,0,0,0,2025-04-07 15:59:00-04:00,2025-04-07 15:59:00-04:00,False,True,clean,wide,100.0,20,20,16981.25,16673.5,307.75,0.26401299756295693,tier1_pilot,False,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,or_class_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
