date,rule,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,net_pnl
2025-03-13,a_plus_short,2025-03-13 10:36:00-04:00,2025-03-13 10:37:00-04:00,19437.5,19477.5,19387.5,2025-03-13 10:51:00-04:00,19480.0,stop,-86.34
2025-05-14,a_plus_short,2025-05-14 10:11:00-04:00,2025-05-14 10:12:00-04:00,21302.0,21342.0,21252.0,2025-05-14 10:13:00-04:00,21344.5,stop,-86.34
2025-05-16,a_plus_short,2025-05-16 10:36:00-04:00,2025-05-16 10:37:00-04:00,21372.0,21412.0,21322.0,2025-05-16 10:45:00-04:00,21324.5,target,93.66
2025-06-04,a_plus_short,2025-06-04 10:43:00-04:00,2025-06-04 10:44:00-04:00,21713.25,21753.25,21663.25,2025-06-04 10:58:00-04:00,21755.75,stop,-86.34
2025-06-05,a_plus_short,2025-06-05 10:02:00-04:00,2025-06-05 10:03:00-04:00,21729.25,21769.25,21679.25,2025-06-05 10:23:00-04:00,21771.75,stop,-86.34
2025-07-16,a_plus_short,2025-07-16 10:25:00-04:00,2025-07-16 10:26:00-04:00,22982.5,23022.5,22932.5,2025-07-16 10:30:00-04:00,23025.0,stop,-86.34
2025-07-23,a_plus_short,2025-07-23 10:18:00-04:00,2025-07-23 10:19:00-04:00,23169.5,23209.5,23119.5,2025-07-23 11:00:00-04:00,23212.0,stop,-86.34
2025-07-24,a_plus_short,2025-07-24 10:12:00-04:00,2025-07-24 10:13:00-04:00,23308.0,23348.0,23258.0,2025-07-24 10:36:00-04:00,23350.5,stop,-86.34
2025-07-29,a_plus_short,2025-07-29 10:01:00-04:00,2025-07-29 10:02:00-04:00,23574.0,23614.0,23524.0,2025-07-29 10:53:00-04:00,23526.5,target,93.66
2025-08-07,a_plus_short,2025-08-07 10:24:00-04:00,2025-08-07 10:25:00-04:00,23561.5,23601.5,23511.5,2025-08-07 11:04:00-04:00,23514.0,target,93.66
2025-08-15,a_plus_short,2025-08-15 10:41:00-04:00,2025-08-15 10:42:00-04:00,23826.25,23866.25,23776.25,2025-08-15 11:39:00-04:00,23778.75,target,93.66
2025-09-04,a_plus_short,2025-09-04 10:03:00-04:00,2025-09-04 10:04:00-04:00,23436.75,23476.75,23386.75,2025-09-04 10:24:00-04:00,23479.25,stop,-86.34
2025-09-17,a_plus_short,2025-09-17 10:11:00-04:00,2025-09-17 10:12:00-04:00,24218.25,24258.25,24168.25,2025-09-17 11:05:00-04:00,24170.75,target,93.66
2025-09-23,a_plus_short,2025-09-23 10:00:00-04:00,2025-09-23 10:01:00-04:00,24930.25,24970.25,24880.25,2025-09-23 10:41:00-04:00,24972.75,stop,-86.34
2025-09-24,a_plus_short,2025-09-24 10:02:00-04:00,2025-09-24 10:03:00-04:00,24808.5,24848.5,24758.5,2025-09-24 11:42:00-04:00,24761.0,target,93.66
2025-10-09,a_plus_short,2025-10-09 10:26:00-04:00,2025-10-09 10:27:00-04:00,25255.25,25295.25,25205.25,2025-10-09 10:43:00-04:00,25207.75,target,93.66
2025-10-31,a_plus_short,2025-10-31 10:09:00-04:00,2025-10-31 10:10:00-04:00,26092.5,26132.5,26042.5,2025-10-31 10:33:00-04:00,26135.0,stop,-86.34
2025-11-21,a_plus_short,2025-11-21 10:08:00-05:00,2025-11-21 10:09:00-05:00,24146.5,24186.5,24096.5,2025-11-21 10:13:00-05:00,24099.0,target,93.66
2025-11-25,a_plus_short,2025-11-25 10:02:00-05:00,2025-11-25 10:03:00-05:00,24703.25,24743.25,24653.25,2025-11-25 10:05:00-05:00,24745.75,stop,-86.34
2025-12-12,a_plus_short,2025-12-12 10:00:00-05:00,2025-12-12 10:01:00-05:00,25517.75,25557.75,25467.75,2025-12-12 10:07:00-05:00,25470.25,target,93.66
2025-12-17,a_plus_short,2025-12-17 10:12:00-05:00,2025-12-17 10:13:00-05:00,25055.5,25095.5,25005.5,2025-12-17 10:22:00-05:00,25098.0,stop,-86.34
2026-01-13,a_plus_short,2026-01-13 10:08:00-05:00,2026-01-13 10:09:00-05:00,25922.25,25962.25,25872.25,2026-01-13 10:18:00-05:00,25874.75,target,93.66
2026-04-16,a_plus_short,2026-04-16 10:17:00-04:00,2026-04-16 10:18:00-04:00,26326.25,26366.25,26276.25,2026-04-16 10:26:00-04:00,26368.75,stop,-86.34
2026-04-20,a_plus_short,2026-04-20 10:18:00-04:00,2026-04-20 10:19:00-04:00,26719.0,26759.0,26669.0,2026-04-20 10:22:00-04:00,26761.5,stop,-86.34
