date,clean,quality,or_class,eligible,reason,or_high,or_low,or_size,breakout_ts,signal_ts,entry_ts,raw_entry,entry_price,stop_price,target_price,exit_ts,raw_exit,exit_price,exit_reason,net_pnl,vwap_at_signal,close_minus_vwap
2024-09-06,True,clean,wide,False,or_class_wide,18967.25,18766.25,201.0,,,,,,,,,,,,,,
2024-09-09,True,clean,normal,True,,18675.0,18605.0,70.0,2024-09-09 09:58:00-04:00,2024-09-09 10:02:00-04:00,2024-09-09 10:03:00-04:00,18683.25,18685.75,18645.75,18735.75,2024-09-09 10:19:00-04:00,18645.75,18643.25,stop,-86.34,18656.16327349157,27.08672650843073
2024-09-10,True,clean,normal,False,no_retest_signal,18821.75,18721.5,100.25,,,,,,,,,,,,,,
2024-09-11,True,clean,normal,False,no_retest_signal,18906.5,18808.75,97.75,,,,,,,,,,,,,,
2024-09-12,True,clean,normal,True,,19289.5,19210.0,79.5,2024-09-12 10:12:00-04:00,2024-09-12 10:13:00-04:00,2024-09-12 10:14:00-04:00,19312.25,19314.75,19274.75,19364.75,2024-09-12 10:34:00-04:00,19364.75,19362.25,target,93.66,19249.75039248317,62.74960751683102
2024-09-13,True,clean,wide,False,or_class_wide,19503.0,19396.0,107.0,,,,,,,,,,,,,,
2024-09-16,True,clean,wide,False,or_class_wide,19441.0,19326.75,114.25,,,,,,,,,,,,,,
2024-09-17,True,clean,normal,True,,19593.75,19522.0,71.75,2024-09-17 10:45:00-04:00,2024-09-17 10:53:00-04:00,2024-09-17 10:54:00-04:00,19595.0,19597.5,19557.5,19647.5,2024-09-17 10:58:00-04:00,19557.5,19555.0,stop,-86.34,19551.292053056044,43.4579469439559
2024-09-18,True,clean,normal,False,no_retest_signal,19498.25,19432.75,65.5,,,,,,,,,,,,,,
2024-09-19,True,clean,normal,True,,19835.0,19766.25,68.75,2024-09-19 10:17:00-04:00,2024-09-19 10:18:00-04:00,2024-09-19 10:19:00-04:00,19845.75,19848.25,19808.25,19898.25,2024-09-19 10:27:00-04:00,19898.25,19895.75,target,93.66,19792.59449205142,53.905507948580635
2024-09-20,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2024-09-23,True,clean,tight,False,or_class_tight,20086.5,20031.75,54.75,,,,,,,,,,,,,,
2024-09-24,True,clean,tight,False,or_class_tight,20154.0,20094.25,59.75,,,,,,,,,,,,,,
2024-09-25,True,clean,tight,False,or_class_tight,20205.75,20138.25,67.5,,,,,,,,,,,,,,
2024-09-26,True,clean,normal,False,no_upside_breakout,20518.0,20419.25,98.75,,,,,,,,,,,,,,
2024-09-27,True,clean,normal,False,no_upside_breakout,20383.0,20310.25,72.75,,,,,,,,,,,,,,
2024-09-30,True,clean,normal,False,no_retest_signal,20260.0,20168.5,91.5,,,,,,,,,,,,,,
2024-10-01,True,clean,wide,False,or_class_wide,20266.25,20070.0,196.25,,,,,,,,,,,,,,
2024-10-02,True,clean,wide,False,or_class_wide,19967.0,19836.0,131.0,,,,,,,,,,,,,,
2024-10-03,True,clean,normal,True,,20006.25,19894.5,111.75,2024-10-03 09:54:00-04:00,2024-10-03 10:16:00-04:00,2024-10-03 10:17:00-04:00,20055.0,20057.5,20017.5,20107.5,2024-10-03 10:20:00-04:00,20017.5,20015.0,stop,-86.34,20016.035280872533,39.214719127467106
2024-10-04,True,clean,tight,False,or_class_tight,20239.75,20186.25,53.5,,,,,,,,,,,,,,
2024-10-07,True,clean,tight,False,or_class_tight,20163.75,20107.25,56.5,,,,,,,,,,,,,,
2024-10-08,True,clean,tight,False,or_class_tight,20115.75,20069.5,46.25,,,,,,,,,,,,,,
2024-10-09,True,clean,tight,False,or_class_tight,20299.25,20238.25,61.0,,,,,,,,,,,,,,
2024-10-10,True,clean,tight,False,or_class_tight,20390.0,20340.0,50.0,,,,,,,,,,,,,,
2024-10-11,True,clean,tight,False,or_class_tight,20352.25,20313.25,39.0,,,,,,,,,,,,,,
2024-10-14,True,clean,normal,True,,20609.0,20540.75,68.25,2024-10-14 09:46:00-04:00,2024-10-14 10:20:00-04:00,2024-10-14 10:21:00-04:00,20615.75,20618.25,20578.25,20668.25,2024-10-14 10:52:00-04:00,20578.25,20575.75,stop,-86.34,20618.16699555728,-2.9169955572797335
2024-10-15,True,clean,tight,False,or_class_tight,20659.25,20605.75,53.5,,,,,,,,,,,,,,
2024-10-16,True,clean,wide,False,or_class_wide,20357.5,20241.75,115.75,,,,,,,,,,,,,,
2024-10-17,True,clean,wide,False,or_class_wide,20576.0,20402.5,173.5,,,,,,,,,,,,,,
2024-10-18,True,clean,normal,False,no_retest_signal,20502.25,20433.0,69.25,,,,,,,,,,,,,,
2024-10-21,True,clean,normal,True,,20488.25,20423.0,65.25,2024-10-21 09:49:00-04:00,2024-10-21 10:03:00-04:00,2024-10-21 10:04:00-04:00,20509.25,20511.75,20471.75,20561.75,2024-10-21 10:38:00-04:00,20471.75,20469.25,stop,-86.34,20472.141262721554,37.108737278445915
2024-10-22,True,clean,normal,True,,20458.25,20368.75,89.5,2024-10-22 09:45:00-04:00,2024-10-22 10:04:00-04:00,2024-10-22 10:05:00-04:00,20459.5,20462.0,20422.0,20512.0,2024-10-22 10:06:00-04:00,20512.0,20509.5,target,93.66,20433.423526930914,26.326473069086205
2024-10-23,True,clean,tight,False,or_class_tight,20462.75,20407.0,55.75,,,,,,,,,,,,,,
2024-10-24,True,clean,normal,False,no_retest_signal,20376.75,20312.0,64.75,,,,,,,,,,,,,,
2024-10-25,True,clean,normal,False,no_retest_signal,20588.75,20490.0,98.75,,,,,,,,,,,,,,
2024-10-28,True,clean,normal,False,no_upside_breakout,20627.0,20556.5,70.5,,,,,,,,,,,,,,
2024-10-29,True,clean,normal,True,,20526.75,20432.0,94.75,2024-10-29 10:03:00-04:00,2024-10-29 10:11:00-04:00,2024-10-29 10:12:00-04:00,20535.25,20537.75,20497.75,20587.75,2024-10-29 10:24:00-04:00,20587.75,20585.25,target,93.66,20489.28499239081,45.71500760918934
2024-10-30,True,clean,wide,False,or_class_wide,20669.5,20543.0,126.5,,,,,,,,,,,,,,
2024-10-31,True,clean,wide,False,or_class_wide,20369.0,20252.5,116.5,,,,,,,,,,,,,,
2024-11-01,True,clean,wide,False,or_class_wide,20164.75,20057.25,107.5,,,,,,,,,,,,,,
2024-11-04,True,clean,wide,False,or_class_wide,20142.0,20013.25,128.75,,,,,,,,,,,,,,
2024-11-05,True,clean,normal,True,,20243.0,20147.0,96.0,2024-11-05 09:49:00-05:00,2024-11-05 10:57:00-05:00,2024-11-05 10:58:00-05:00,20257.25,20259.75,20219.75,20309.75,2024-11-05 11:24:00-05:00,20309.75,20307.25,target,93.66,20258.02419464939,-1.2741946493915748
2024-11-06,True,clean,wide,False,or_class_wide,20806.75,20668.25,138.5,,,,,,,,,,,,,,
2024-11-07,True,clean,normal,True,,21091.5,21003.75,87.75,2024-11-07 09:56:00-05:00,2024-11-07 10:35:00-05:00,2024-11-07 10:36:00-05:00,21104.0,21106.5,21066.5,21156.5,2024-11-07 10:50:00-05:00,21156.5,21154.0,target,93.66,21080.156220368786,23.843779631213692
2024-11-08,True,clean,tight,False,or_class_tight,21232.0,21186.25,45.75,,,,,,,,,,,,,,
2024-11-11,True,clean,normal,False,no_upside_breakout,21292.5,21206.25,86.25,,,,,,,,,,,,,,
2024-11-12,True,clean,tight,False,or_class_tight,21241.25,21181.5,59.75,,,,,,,,,,,,,,
2024-11-13,True,clean,tight,False,or_class_tight,21184.75,21139.0,45.75,,,,,,,,,,,,,,
2024-11-14,True,clean,normal,False,no_upside_breakout,21174.5,21078.75,95.75,,,,,,,,,,,,,,
2024-11-15,True,clean,normal,False,no_upside_breakout,20774.0,20687.0,87.0,,,,,,,,,,,,,,
2024-11-18,True,clean,tight,False,or_class_tight,20571.5,20520.25,51.25,,,,,,,,,,,,,,
2024-11-19,True,clean,normal,False,no_retest_signal,20587.5,20508.0,79.5,,,,,,,,,,,,,,
2024-11-20,True,clean,wide,False,or_class_wide,20756.0,20636.25,119.75,,,,,,,,,,,,,,
2024-11-21,True,clean,wide,False,or_class_wide,20907.0,20628.25,278.75,,,,,,,,,,,,,,
