rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope,slippage_rt,variant
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2025-10-23,normal,94.0,2025-10-23 10:21:00-04:00,2025-10-23 10:22:00-04:00,25110.5,2025-10-23 10:25:00-04:00,25158.0,target,93.66,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2025-12-01,normal,110.75,2025-12-01 10:26:00-05:00,2025-12-01 10:27:00-05:00,25340.5,2025-12-01 10:34:00-05:00,25298.0,stop,-86.34,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2025-12-02,normal,141.75,2025-12-02 10:42:00-05:00,2025-12-02 10:43:00-05:00,25616.25,2025-12-02 10:51:00-05:00,25663.75,target,93.66,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2025-12-16,normal,140.5,2025-12-16 10:04:00-05:00,2025-12-16 10:05:00-05:00,25116.5,2025-12-16 10:10:00-05:00,25074.0,stop,-86.34,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2025-12-23,normal,99.5,2025-12-23 10:58:00-05:00,2025-12-23 10:59:00-05:00,25740.75,2025-12-23 14:19:00-05:00,25788.25,target,93.66,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2026-01-07,normal,93.5,2026-01-07 10:06:00-05:00,2026-01-07 10:07:00-05:00,25867.75,2026-01-07 10:17:00-05:00,25825.25,stop,-86.34,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2026-01-20,normal,124.75,2026-01-20 10:59:00-05:00,2026-01-20 11:00:00-05:00,25365.5,2026-01-20 11:10:00-05:00,25413.0,target,93.66,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2026-01-26,normal,123.0,2026-01-26 10:13:00-05:00,2026-01-26 10:14:00-05:00,25836.0,2026-01-26 10:21:00-05:00,25883.5,target,93.66,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2026-02-10,normal,145.0,2026-02-10 10:18:00-05:00,2026-02-10 10:19:00-05:00,25415.75,2026-02-10 10:24:00-05:00,25373.25,stop,-86.34,full_history,5.0,vwap65_emaslope20
vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2026-02-19,normal,120.75,2026-02-19 10:01:00-05:00,2026-02-19 10:02:00-05:00,24897.5,2026-02-19 10:03:00-05:00,24945.0,target,93.66,full_history,5.0,vwap65_emaslope20
