filter,trades,pnl,avg,win_rate,pf,max_dd,is_avg,oos_avg,kept_bad_bucket,bad_bucket_pnl,win_rate_delta,pnl_delta,trade_loss,score
breakout_minute <= 600,71,1429.8600000000001,20.13887323943662,0.5915492957746479,1.5710622798399265,-597.0600000000002,20.80285714285714,19.17724137931034,13,-222.4200000000001,-0.01897702001482582,-756.8399999999988,24,-2.9928083878817278
signal_rsi <= 70,73,1386.1799999999998,18.98876712328767,0.589041095890411,1.5351633078526747,-575.1000000000004,17.12511627906976,21.65999999999999,15,-575.1000000000003,-0.021485219899062713,-800.5199999999991,22,-3.518133847856571
signal_rsi<=70 AND rth_ret_sig<=1.0,73,1386.1799999999998,18.98876712328767,0.589041095890411,1.5351633078526747,-575.1000000000004,17.12511627906976,21.65999999999999,15,-575.1000000000003,-0.021485219899062713,-800.5199999999991,22,-3.518133847856571
signal_ema_delta >= 0,73,1386.1799999999996,18.988767123287666,0.589041095890411,1.5351633078526747,-417.06000000000023,21.31116279069767,15.659999999999991,14,-308.7600000000002,-0.021485219899062713,-800.5199999999993,22,-3.5181338478565714
close_above_ema == True,73,1386.1799999999996,18.988767123287666,0.589041095890411,1.5351633078526747,-417.06000000000023,21.31116279069767,15.659999999999991,14,-308.7600000000002,-0.021485219899062713,-800.5199999999993,22,-3.5181338478565714
signal_vwap_delta <= 50,82,1509.1199999999997,18.403902439024385,0.5853658536585366,1.5140824919265825,-604.3800000000002,22.823265306122448,11.841818181818178,14,-308.7600000000002,-0.025160462130937145,-677.5799999999992,13,-3.959548619100804
rth_ret_sig<=1.0 AND signal_vwap_delta<=50,82,1509.1199999999997,18.403902439024385,0.5853658536585366,1.5140824919265825,-604.3800000000002,22.823265306122448,11.841818181818178,14,-308.7600000000002,-0.025160462130937145,-677.5799999999992,13,-3.959548619100804
prior_day_dir == down,48,895.6799999999998,18.659999999999997,0.5833333333333334,1.5186935371785963,-259.02,16.517142857142854,21.65999999999999,7,-604.3800000000001,-0.027192982456140324,-1291.019999999999,47,-4.454135669263492
breakout_minute >= 595,36,620.7599999999998,17.243333333333325,0.5833333333333334,1.4793143386611076,-259.0200000000001,31.231428571428562,-2.3400000000000034,6,-518.0400000000001,-0.027192982456140324,-1565.9399999999991,59,-4.912698328517602
rth_ret_sig >= 0.25,55,960.2999999999996,17.459999999999994,0.5818181818181818,1.4835785720760193,-661.4400000000005,26.659999999999997,3.6599999999999966,8,-150.72000000000003,-0.028708133971291905,-1226.3999999999992,40,-4.831225646291536
breakout_minute <= 610,83,1473.78,17.756385542168676,0.5783132530120482,1.4876997915218897,-518.0400000000002,20.190612244897956,14.248235294117642,15,-395.10000000000025,-0.03221306277742553,-712.9199999999989,12,-4.851473875458677
signal_minute <= 630,80,1372.7999999999997,17.159999999999997,0.575,1.4676450149204916,-510.71999999999935,22.409999999999997,9.284999999999997,13,-762.4200000000002,-0.03552631578947374,-813.8999999999992,15,-5.372711613887358
signal_rsi >= 50,61,982.2599999999996,16.102622950819665,0.5737704918032787,1.437563478911637,-417.06000000000023,22.243333333333325,7.26,11,-409.7400000000001,-0.036755823986195035,-1204.4399999999991,34,-5.941807818521792
signal_rsi>=50 AND rth_ret_sig<=1.0,61,982.2599999999996,16.102622950819665,0.5737704918032787,1.437563478911637,-417.06000000000023,22.243333333333325,7.26,11,-409.7400000000001,-0.036755823986195035,-1204.4399999999991,34,-5.941807818521792
signal_ema_slope >= 0,68,1097.8799999999997,16.145294117647055,0.5735294117647058,1.438474994608324,-417.06000000000023,20.384999999999998,10.088571428571425,12,-316.08000000000015,-0.03699690402476785,-1088.8199999999993,27,-5.887091127212901
signal_rsi<=70 AND signal_vwap_delta<=50,63,989.5799999999995,15.707619047619039,0.5714285714285714,1.4244974648032322,-668.7600000000003,4.714054054054051,31.35230769230769,12,-316.08000000000015,-0.0390977443609023,-1197.1199999999994,32,-6.260830316854605
signal_rsi>=50 AND signal_ema_slope<=30,44,650.0399999999996,14.773636363636355,0.5681818181818182,1.3962547090450241,-345.36000000000007,22.467692307692307,3.6599999999999966,5,-251.70000000000002,-0.04234449760765546,-1536.6599999999994,51,-7.010117688719231
signal_rsi>=50 AND or_close_pos>=0.4,48,664.6799999999998,13.847499999999997,0.5625,1.3665905556107085,-503.4,14.695714285714283,12.659999999999997,8,-150.72000000000003,-0.048026315789473695,-1522.019999999999,47,-7.779233910436268
signal_rsi >= 60,47,571.0199999999996,12.149361702127653,0.5531914893617021,1.3149343128495319,-251.70000000000002,21.12428571428571,-1.0768421052631614,9,-417.06000000000006,-0.057334826427771546,-1615.6799999999994,48,-9.148180017859172
signal_rsi>=50 AND signal_vwap_delta<=50,51,585.6599999999999,11.483529411764703,0.5490196078431373,1.2949209898178085,-604.3800000000001,13.959999999999999,7.945714285714282,8,-150.72000000000003,-0.06150670794633639,-1601.039999999999,44,-9.692018013910566
signal_rsi<=70 AND signal_rsi>=50,39,181.73999999999987,4.659999999999997,0.5128205128205128,1.1107859990490476,-582.4200000000001,-2.470434782608704,14.909999999999997,9,-417.06000000000006,-0.09770580296896092,-2004.9599999999991,56,-15.034955411193296
