rule_id,trades,pnl_1,pnl_3,pnl_5,pf_1,pf_1_5,pf_3,pf_5,oos_avg_3,oos_avg_5,pass_1,pass_1_5,pass_3,pass_5,max_drawdown_5
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,104,2729.6399999999985,2519.6399999999985,2129.639999999999,1.8085570241177265,1.7882194297558611,1.7286534757688095,1.5872795261259465,14.231428571428566,12.231428571428566,False,False,False,False,-503.3999999999992
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=2|signal_vs_ema=above|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,2726.119999999999,2318.119999999999,2150.1199999999994,1.7882878193784189,1.771458462670437,1.6391957249449893,1.5791381827388737,2.4175757575757544,0.35696969696969355,False,False,False,False,-804.8199999999988
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_ema_slope=30|max_stop=120|min_reward_points=8|or_class=normal|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,88,2833.0799999999995,2411.0799999999995,2229.0799999999995,1.764602056513642,1.7477815333440627,1.6214700333020582,1.5612492572337868,8.521111111111107,6.465555555555552,False,False,False,False,-785.799999999999
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,104,3195.6399999999985,2741.6399999999985,2527.639999999999,1.7187092363191456,1.702411610064917,1.5910362817168595,1.5322804135868757,12.39809523809523,10.350476190476183,False,False,False,False,-823.8399999999997
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,104,3195.6399999999985,2741.6399999999985,2527.639999999999,1.7187092363191456,1.702411610064917,1.5910362817168595,1.5322804135868757,12.39809523809523,10.350476190476183,False,False,False,False,-823.8399999999997
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2.5|start=10:20|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,112,3383.9199999999996,3137.4199999999996,2893.4199999999996,1.6421393004615008,1.6268522151134714,1.5812448126630303,1.5236238996988647,16.404444444444437,14.22666666666666,False,False,False,False,-735.0999999999993
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,131,4388.959999999999,4096.959999999999,3804.959999999999,1.6016477264938516,1.5891371708595528,1.5522328107940528,1.504442588394384,2.0562264150943355,-0.2079245283018902,False,False,False,False,-631.7000000000007
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,112,3718.4199999999983,3468.4199999999983,3218.4199999999987,1.597447877837476,1.5849621750316802,1.5481206857316236,1.500388691260976,-1.9400000000000073,-4.162222222222229,False,False,False,False,-658.4200000000019
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,112,4737.42,4105.419999999999,3429.919999999999,1.7303282100297528,1.7166413432171521,1.610286247740462,1.492000149181367,-4.128888888888896,-7.495555555555562,False,False,False,False,-1025.4800000000032
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2.5|start=10:20|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=10,143,4136.379999999997,3692.879999999998,3382.8799999999983,1.6052453681619845,1.590466162089206,1.5275377059578121,1.4720591888052552,14.685862068965516,12.47896551724138,False,False,False,False,-949.74
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2.5|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,112,3958.42,3666.42,3374.42,1.5667110481180828,1.5537231540993883,1.5154606419322636,1.4660221795633137,2.1933333333333254,-0.34000000000000213,False,False,False,False,-930.4800000000032
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,131,4092.4599999999987,3542.459999999999,3253.459999999999,1.6123503710797218,1.5490435347514242,1.5118022867743304,1.462300747136073,9.358113207547166,7.037358490566033,False,False,False,False,-614.3800000000002
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,131,5147.959999999999,4465.959999999999,3740.4599999999996,1.6702985638207835,1.6568662017473361,1.5622906814530546,1.4556657627564633,-0.5569811320754751,-3.868301886792454,False,False,False,False,-1010.7200000000012
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=10,143,4420.879999999999,4104.879999999999,3788.88,1.5423540842665198,1.5304173823386407,1.4952034434836317,1.4495970230014903,1.5048275862068947,-0.7365517241379355,False,False,False,False,-910.560000000005
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=10,126,3805.6599999999985,3527.6599999999985,3249.6599999999985,1.5283760218588944,1.5165750439678343,1.4817522833544552,1.4366320190902053,-4.575294117647068,-6.771372549019616,False,False,False,False,-1118.5400000000045
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2.5|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,131,4282.459999999999,3934.459999999999,3586.459999999999,1.5236369416626927,1.5106575135714113,1.4724205420073726,1.423016406590944,5.943018867924529,3.3392452830188666,False,False,False,False,-1010.7200000000012
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,161,4127.259999999998,3551.2599999999984,3135.7599999999984,1.5828442476176483,1.5675356248526153,1.4839824574314686,1.4174567800649127,18.744615384615383,15.429230769230765,True,True,False,False,-680.4600000000006
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2.5|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=10,166,4646.059999999998,3824.0599999999977,3456.0599999999977,1.59395062833182,1.5788660448804284,1.4723020907438145,1.4167703750868255,25.555522388059696,23.25701492537313,True,True,False,False,-1059.4800000000005
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=10,196,6102.859999999998,5148.859999999997,4342.859999999997,1.6098761632183172,1.5969381764777288,1.4936870769171764,1.4045989561886165,25.691645569620256,23.47645569620253,True,True,False,False,-993.4000000000001
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,183,5465.279999999997,5053.279999999997,4341.279999999997,1.5331252316756738,1.5208170242523724,1.4845225995742806,1.4044517567967922,16.227567567567565,13.930270270270263,False,False,False,False,-1200.4599999999998
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=10,166,4356.559999999998,3530.5599999999977,3105.059999999998,1.6012431823702162,1.5857485404503748,1.4651226517007874,1.3993933968234364,25.839104477611933,22.503283582089544,True,True,False,False,-920.4600000000003
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=12:00|touch_tolerance=5,183,4704.779999999999,3764.279999999999,3183.2799999999997,1.632731996890659,1.6126688462186196,1.4859744069074492,1.3960111266477238,21.73432432432432,19.19378378378378,True,True,False,False,-920.6200000000003
