date,net_pnl,exit_reason,rth_direction,rth_move_points,post_entry_direction,post_entry_move_points,or_direction,or_move_points,close_vs_or_mid,prior_day_direction,prior_day_zombie,or_percentile,or_size
2024-10-14,-86.34,stop,up,70.5,up,3.0,up,52.5,above,up,False,50.0,68.25
2024-10-21,-86.34,stop,up,92.75,up,8.75,up,48.5,above,up,False,45.0,65.25
2024-10-22,93.66,target,up,137.5,up,78.0,up,42.25,above,up,False,65.0,89.5
2024-10-29,93.66,target,up,185.5,up,158.25,down,-22.0,above,down,True,70.0,94.75
2024-11-05,93.66,target,up,189.5,up,82.0,up,64.75,above,down,False,65.0,96.0
2024-11-07,93.66,target,up,215.5,up,115.25,up,66.5,above,up,True,45.0,87.75
2024-12-02,93.66,target,up,174.0,up,58.0,up,70.0,above,up,True,75.0,113.0
2024-12-10,-86.34,stop,down,-125.5,down,-172.5,up,42.75,below,down,False,50.0,71.25
2024-12-18,-86.34,stop,down,-769.0,down,-793.0,down,-6.75,below,down,False,75.0,89.25
2025-01-06,93.66,target,up,17.25,down,-90.5,up,60.5,below,up,True,70.0,105.0
2025-01-13,93.66,target,up,182.25,up,149.25,up,15.75,above,down,False,35.0,84.5
2025-02-11,93.66,target,up,85.0,down,-12.0,up,83.75,above,up,False,50.0,96.75
2025-02-13,93.66,target,up,241.0,up,146.75,up,17.25,above,up,True,60.0,116.0
2025-02-26,93.66,target,down,-45.75,down,-110.0,down,-3.25,below,down,False,45.0,85.75
2025-03-19,93.66,target,up,163.0,up,123.25,down,-63.25,above,down,True,35.0,107.25
2025-03-27,93.66,target,down,-33.25,down,-88.25,down,-48.75,below,down,True,45.0,132.0
2025-04-15,93.66,target,down,-27.25,down,-133.5,up,83.0,below,down,False,30.0,118.75
2025-05-21,93.66,target,down,-130.5,down,-253.75,up,84.0,below,up,False,55.00000000000001,95.25
2025-05-22,-86.34,stop,up,13.0,down,-56.25,down,-13.25,above,down,False,65.0,105.75
2025-06-03,-86.34,stop,up,158.0,up,91.5,up,17.75,above,up,True,45.0,85.75
2025-06-17,-86.34,stop,down,-108.75,down,-167.5,down,-28.5,below,up,True,35.0,80.5
2025-06-26,93.66,target,up,120.25,up,99.25,down,-28.5,above,down,False,35.0,71.5
2025-07-17,93.66,target,up,157.5,up,115.25,up,22.0,above,up,False,30.0,62.5
2025-07-30,93.66,target,down,-3.25,down,-29.75,up,20.75,above,down,False,40.0,59.5
2025-08-06,-86.34,stop,up,254.75,up,178.75,up,34.0,above,down,True,45.0,79.25
2025-08-07,-86.34,stop,down,-99.0,down,-149.0,up,3.75,below,up,True,35.0,65.25
2025-08-14,93.66,target,up,63.0,down,-15.0,up,64.25,above,down,False,65.0,82.75
2025-08-21,93.66,target,down,-42.0,down,-80.0,down,-6.5,below,down,False,70.0,91.0
2025-08-25,93.66,target,down,-0.25,down,-33.75,down,-15.5,above,up,True,40.0,73.5
2025-09-03,93.66,target,up,28.5,up,4.5,down,-26.0,above,up,True,35.0,66.0
2025-09-08,-86.34,stop,up,18.75,down,-49.5,up,47.25,below,down,False,35.0,75.5
2025-09-11,-86.34,stop,up,34.75,up,7.75,down,-52.25,above,down,False,65.0,86.25
2025-09-18,93.66,target,up,20.75,down,-18.0,down,-54.75,above,down,False,70.0,88.0
2025-10-20,93.66,target,up,182.25,up,69.0,up,70.75,above,up,True,70.0,110.0
2025-10-22,-86.34,stop,down,-225.0,down,-234.75,down,-5.75,below,down,False,60.0,98.75
2025-10-23,93.66,target,up,236.0,up,141.75,up,76.0,above,down,False,50.0,94.0
2025-10-24,-86.34,stop,up,41.25,down,-29.25,up,55.75,above,up,True,65.0,100.75
2025-11-10,-86.34,stop,up,174.25,up,70.5,up,90.5,above,up,False,70.0,115.75
2025-11-20,93.66,target,down,-1072.5,down,-1109.25,up,1.5,below,up,False,35.0,97.25
2025-12-01,-86.34,stop,up,147.0,up,61.25,down,-8.0,above,up,True,40.0,110.75
2025-12-02,-86.34,stop,up,108.0,down,-33.5,up,103.0,above,up,False,55.00000000000001,141.75
2025-12-16,-86.34,stop,up,142.25,up,15.0,up,32.75,above,down,True,65.0,140.5
2025-12-23,93.66,target,up,166.5,up,70.25,up,85.0,above,down,False,40.0,99.5
2026-01-02,-86.34,stop,down,-301.0,down,-383.75,up,4.0,below,down,True,40.0,95.5
2026-01-07,-86.34,stop,up,43.75,down,-33.5,up,64.25,above,up,True,35.0,93.5
2026-01-20,93.66,target,down,-100.25,down,-223.5,up,91.25,below,up,False,65.0,124.75
2026-01-26,93.66,target,up,95.5,up,8.25,up,67.75,above,up,False,65.0,123.0
2026-02-10,-86.34,stop,down,-157.0,down,-196.5,down,-66.75,below,up,False,60.0,145.0
2026-02-19,93.66,target,up,28.75,down,-34.75,up,12.5,above,up,False,35.0,120.75
2026-02-24,93.66,target,up,225.25,up,112.5,up,106.0,above,down,False,70.0,218.25
2026-02-27,93.66,target,up,182.5,up,81.0,up,28.5,above,down,False,35.0,130.0
2026-03-19,93.66,target,up,146.0,up,101.75,up,7.0,above,down,True,50.0,125.5
2026-03-23,93.66,target,down,-94.75,down,-184.5,up,3.25,below,flat,False,60.0,136.0
2026-04-01,93.66,target,up,111.5,down,-7.0,up,8.5,above,up,True,75.0,151.0
2026-04-06,-86.34,stop,up,99.0,down,-22.75,up,64.75,above,up,True,55.00000000000001,128.5
2026-04-14,93.66,target,up,345.5,up,240.0,up,93.25,above,up,True,40.0,100.75
2026-04-21,-86.34,stop,down,-166.5,down,-202.75,down,-39.25,below,down,False,55.00000000000001,111.75
2026-04-23,93.66,target,down,-88.25,down,-144.0,up,44.0,below,up,True,55.00000000000001,103.75
